dataset,gloss,num_samples,mean_frames,std_frames,sequence_length_variance
VSL,tổng kết_bế giảng,3.0,126.66666666666669,38.66379299666406,1494.8888888888887
ASL,bank,3.0,87.0,38.18376618407357,1458.0
VSL,h,3.0,87.0,38.18376618407357,1458.0
VSL,bạn gái,3.0,115.66666666666669,37.71236166328253,1422.222222222222
VSL,tàu hoả,3.0,119.0,37.47888294315436,1404.6666666666667
VSL,đồng phục,3.0,110.0,37.47888294315436,1404.6666666666667
VSL,mật khẩu,3.0,110.33333333333331,37.46405684860565,1403.5555555555557
VSL,bảng đen,3.0,128.66666666666666,37.2409571424915,1386.888888888889
VSL,xe cứu hỏa,2.0,140.0,37.0,1369.0
ASL,march,7.0,84.0,36.691766300979765,1346.2857142857142
VSL,xưa,3.0,109.0,36.5057073163453,1332.6666666666667
VSL,23,3.0,111.33333333333331,36.29814810090944,1317.5555555555557
VSL,phản bội,3.0,94.66666666666669,36.29814810090944,1317.5555555555557
VSL,quê,3.0,129.33333333333334,36.29814810090944,1317.5555555555557
VSL,bảng nhân,3.0,131.66666666666666,35.8267435801184,1283.5555555555554
VSL,trụi lá,3.0,168.33333333333334,35.593382655893905,1266.888888888889
VSL,g,2.0,95.5,35.5,1260.25
ASL,town,9.0,74.44444444444444,35.24552331261726,1242.2469135802469
ASL,city,9.0,77.44444444444444,34.97018130131603,1222.9135802469136
ASL,climb,5.0,83.2,34.376736319784634,1181.76
ASL,tobacco,4.0,80.25,33.92178503557854,1150.6875
ASL,represent,7.0,77.28571428571429,33.771138504918184,1140.4897959183677
ASL,bush,6.0,92.0,33.201405592735576,1102.3333333333333
VSL,giá trị,3.0,103.33333333333331,33.089105289942324,1094.888888888889
VSL,chảo,3.0,223.33333333333331,32.99831645537222,1088.888888888889
ASL,thanksgiving,13.0,73.3076923076923,32.96241359577862,1086.5207100591713
ASL,hippopotamus,3.0,84.66666666666667,32.78549814916481,1074.888888888889
VSL,bông hoa,3.0,104.0,32.526911934581186,1058.0
ASL,adjective,4.0,78.5,32.04293994002423,1026.75
ASL,canoe,4.0,85.5,31.028212968200407,962.75
VSL,cây bàng,2.0,109.0,31.0,961.0
VSL,thường xuyên,4.0,107.0,30.7571129984594,946.0
ASL,research,7.0,78.85714285714286,30.418173944575454,925.2653061224488
ASL,behavior,5.0,77.8,30.4,924.16
ASL,chapter,5.0,78.0,29.50254226333724,870.4
ASL,temperature,8.0,83.375,29.495497537759896,869.984375
ASL,recliner,4.0,89.5,28.96118091514916,838.75
ASL,iran,7.0,75.28571428571429,28.857850062055583,832.7755102040816
ASL,interest,10.0,78.5,28.63302289315608,819.85
VSL,chùa,3.0,112.33333333333331,28.288199345702832,800.2222222222222
VSL,anh em,3.0,103.0,28.284271247461906,800.0
ASL,care,7.0,75.28571428571429,28.16134273236622,793.0612244897957
VSL,ngày gia đình Việt Nam 28_6,3.0,159.33333333333334,28.075295585660754,788.2222222222223
ASL,roar,4.0,82.75,27.67105888830422,765.6875
ASL,appointment,10.0,72.7,27.60815097032034,762.2099999999999
ASL,complex,7.0,73.57142857142857,27.348842455823785,747.9591836734695
ASL,princess,3.0,84.0,27.17842281418601,738.6666666666666
ASL,somewhere,4.0,88.5,27.115493725912497,735.25
ASL,enough,5.0,78.0,26.855167100578612,721.2
VSL,cây cổ thụ,3.0,83.33333333333333,26.6374840320094,709.5555555555555
VSL,bảng trừ,3.0,117.33333333333331,25.69478978746902,660.2222222222223
ASL,local,4.0,89.75,25.02373872945448,626.1875
ASL,enormous,5.0,85.4,25.000799987200413,625.0400000000001
ASL,fairy,4.0,79.75,24.92363336273425,621.1875
ASL,star,7.0,75.28571428571429,24.627013540386244,606.4897959183673
VSL,bánh mì,3.0,108.33333333333331,24.513035081133648,600.8888888888889
VSL,một tiếng,3.0,88.33333333333333,24.513035081133648,600.8888888888889
VSL,bánh cuốn,3.0,105.66666666666669,24.280765135299085,589.5555555555555
VSL,cây thân gỗ,3.0,83.66666666666667,24.280765135299085,589.5555555555555
ASL,sauce,4.0,78.75,24.221632892932718,586.6875
ASL,tiptoe,4.0,91.25,24.13892085408956,582.6875
ASL,prince,3.0,77.0,24.04163056034261,578.0
VSL,bốt cảnh sát,3.0,114.0,24.04163056034261,578.0
ASL,contribute,7.0,73.85714285714286,24.014451431398975,576.6938775510205
VSL,người xưa,3.0,101.33333333333331,23.809428571238094,566.8888888888889
VSL,nhân hậu,3.0,76.66666666666667,23.570226039551585,555.5555555555555
VSL,lễ bế giảng,2.0,153.5,23.5,552.25
ASL,category,5.0,73.8,23.361506800718143,545.76
VSL,bức tranh,3.0,135.33333333333334,23.27134623427608,541.5555555555555
VSL,bảo vệ môi trường,3.0,120.33333333333331,23.098821518760552,533.5555555555555
ASL,midnight,4.0,73.25,22.949673200287624,526.6875
VSL,ngày sinh,3.0,95.0,22.90560339014597,524.6666666666666
VSL,lễ hội hóa trang,3.0,124.33333333333331,22.89589968143253,524.2222222222223
VSL,ông nội,3.0,101.66666666666669,22.69116323349001,514.8888888888888
ASL,sunset,8.0,78.625,22.64363873144067,512.734375
ASL,compromise,6.0,79.83333333333333,22.25920533671906,495.47222222222223
ASL,adverb,4.0,76.5,22.197972880423112,492.75
VSL,nghé,3.0,90.66666666666669,22.15601247717849,490.8888888888889
ASL,elementary,4.0,80.0,22.034064536530703,485.5
ASL,positive,5.0,76.4,21.932624102008404,481.04
ASL,relationship,5.0,75.6,21.923503369671558,480.64
ASL,suspect,6.0,77.83333333333333,21.85876381581437,477.8055555555556
ASL,sea,5.0,78.2,21.7476435505091,472.96
ASL,mouse,5.0,73.6,21.70345594600086,471.0400000000001
ASL,country,9.0,67.77777777777777,21.6475699317641,468.6172839506172
ASL,construct,5.0,70.8,21.6,466.56
ASL,closet,5.0,84.6,21.518364250100426,463.04
VSL,bố dượng,3.0,81.66666666666667,21.45279054627212,460.22222222222223
ASL,precise,4.0,75.75,21.405314760591587,458.1875
ASL,path,6.0,76.16666666666667,21.294887231967728,453.47222222222223
ASL,land,6.0,82.16666666666667,21.192897132975684,449.1388888888889
ASL,caption,7.0,69.28571428571429,21.15733095315249,447.6326530612246
ASL,structure,7.0,73.85714285714286,21.05386677364633,443.265306122449
VSL,đánh răng,2.0,93.0,21.0,441.0
VSL,buông màn,3.0,115.0,20.992061991778385,440.6666666666667
ASL,schedule,5.0,75.6,20.943734146517425,438.64
VSL,buổi đêm,3.0,86.66666666666667,20.741798914805397,430.22222222222223
ASL,skate,4.0,77.5,20.69420208657488,428.25
ASL,attorney,4.0,78.25,20.59581268122237,424.1875
VSL,em họ,3.0,119.66666666666669,20.49932248202906,420.2222222222222
ASL,tranquil,5.0,77.2,20.468512403201167,418.96
ASL,boots,3.0,77.33333333333333,20.41785710815141,416.8888888888889
ASL,silent,5.0,75.2,20.350921355064,414.16
VSL,bé trai,3.0,112.66666666666669,20.28683207293725,411.5555555555555
ASL,nickel,4.0,79.75,20.27775875189366,411.1875
ASL,peanut butter,5.0,76.8,20.23264688566476,409.36
ASL,snow,10.0,75.6,20.110693672770218,404.44
VSL,ngày Quốc tế Lao động,3.0,137.33333333333334,20.07209228976613,402.88888888888886
VSL,nước ép trái cây,3.0,123.33333333333331,20.038851153585515,401.5555555555556
ASL,still,5.0,70.0,20.0,400.0
ASL,ocean,5.0,89.2,19.933890739140715,397.36
ASL,newspaper,4.0,71.5,19.91858428704209,396.75
ASL,lunch,6.0,74.33333333333333,19.880196734997924,395.2222222222222
ASL,visualize,5.0,78.8,19.782820830205186,391.36
ASL,bridge,4.0,74.5,19.7673974007708,390.75
ASL,everything,4.0,80.25,19.753164303473,390.1875
ASL,position,4.0,79.0,19.710403344427025,388.5
ASL,confused,6.0,80.83333333333333,19.69277927453501,387.8055555555556
ASL,develop,8.0,68.625,19.64012156276025,385.734375
ASL,learn,8.0,69.625,19.614646950684584,384.734375
ASL,slow,8.0,76.75,19.55600930660445,382.4375
VSL,sĩ diện,2.0,94.5,19.5,380.25
ASL,lonely,6.0,76.83333333333333,19.471489128695037,379.1388888888889
VSL,ngày Người khuyết tật Thế giới 3_12,3.0,129.33333333333334,19.43078885571956,377.5555555555555
ASL,circle,5.0,72.8,19.38452991434149,375.7600000000001
ASL,technology,5.0,83.4,19.272778730634563,371.44
ASL,french,5.0,70.6,19.26239860453521,371.04
VSL,con nuôi,3.0,92.66666666666669,19.067132861433453,363.5555555555555
ASL,regular,4.0,79.0,19.0,361.0
ASL,transform,4.0,81.0,18.90767040118904,357.5
ASL,laptop,6.0,73.66666666666667,18.847339924302904,355.22222222222223
ASL,weather,8.0,69.25,18.839785030620703,354.9375
ASL,whatever,4.0,76.75,18.619546181365436,346.6875
ASL,october,5.0,72.2,18.59462287867113,345.76000000000005
ASL,evidence,7.0,72.42857142857143,18.56923063916791,344.81632653061223
ASL,misunderstand,4.0,76.25,18.498310733685926,342.1875
ASL,narrow,4.0,80.25,18.471261462065875,341.1875
VSL,ngày giải phóng thủ đô 10_10,3.0,150.0,18.45715759987617,340.6666666666667
ASL,dawn,4.0,73.25,18.403464347779742,338.6875
VSL,Bru-nây (nước Bru-nây),3.0,155.0,18.40289832245635,338.6666666666667
VSL,bao giờ_,3.0,104.0,18.384776310850235,338.0
ASL,america,6.0,72.5,18.34620760084583,336.5833333333333
ASL,list,9.0,76.66666666666667,18.30604029032797,335.1111111111111
ASL,eraser,5.0,70.6,18.2931681236466,334.64
ASL,apartment,6.0,70.5,18.291619210264937,334.5833333333333
ASL,monday,6.0,74.66666666666667,18.281745601069453,334.22222222222223
VSL,cá kho,3.0,96.33333333333331,18.263503375736967,333.5555555555556
ASL,waterfall,5.0,72.4,18.24938355123263,333.0400000000001
ASL,choir,6.0,75.5,18.18195075709241,330.5833333333333
ASL,next,5.0,74.8,18.17030544597421,330.16
VSL,sơ mi,3.0,96.33333333333331,18.06162291219209,326.22222222222223
ASL,polar bear,5.0,91.6,18.051038751274124,325.84000000000003
ASL,expect,6.0,73.0,18.036999011291577,325.3333333333333
ASL,bedroom,6.0,68.83333333333333,18.02236265187102,324.8055555555555
VSL,hội thảo,2.0,96.0,18.0,324.0
VSL,Miến Điện (nước Mi-an-ma),3.0,185.33333333333331,17.98765008430939,323.5555555555556
ASL,finally,7.0,70.28571428571429,17.926152369527326,321.3469387755102
VSL,áo đồng phục,3.0,134.66666666666666,17.913371790059205,320.8888888888889
VSL,tương ớt,3.0,110.66666666666669,17.9133717900592,320.88888888888886
ASL,pumpkin,5.0,76.2,17.904189453868053,320.56000000000006
ASL,polite,6.0,68.0,17.88854381999832,320.0
ASL,grammar,9.0,72.55555555555556,17.839476269785692,318.2469135802469
ASL,proper,4.0,79.5,17.811513130556875,317.25
ASL,precipitation,6.0,80.5,17.68002639515375,312.5833333333333
ASL,long,5.0,70.0,17.60681686165901,310.0
ASL,eternity,5.0,76.8,17.6,309.76
ASL,generation,4.0,76.75,17.597940220378067,309.6875
ASL,august,6.0,67.83333333333333,17.515865823748353,306.8055555555556
VSL,tái phạm,3.0,108.66666666666669,17.441967269268172,304.22222222222223
VSL,vui chơi,3.0,105.66666666666669,17.441967269268172,304.22222222222223
ASL,caterpillar,4.0,79.0,17.421251390184345,303.5
ASL,last year,6.0,71.33333333333333,17.3749500398962,301.88888888888886
ASL,hope,9.0,67.77777777777777,17.338318371474706,300.6172839506173
ASL,gymnastics,4.0,70.0,17.320508075688775,300.0
ASL,mirror,8.0,68.875,17.31644810577504,299.859375
VSL,nhãn vở,3.0,128.33333333333334,17.30767331432956,299.5555555555556
ASL,interesting,6.0,70.33333333333333,17.288403306519918,298.88888888888886
ASL,collect,4.0,77.25,17.282577932704367,298.6875
ASL,thermometer,5.0,73.0,17.274258305351346,298.4
ASL,truck,6.0,68.83333333333333,17.20868643705524,296.13888888888886
ASL,lock,6.0,72.5,17.18284027743958,295.25
ASL,anyway,4.0,74.25,17.151894939043906,294.1875
ASL,deer,7.0,67.0,17.146428199482248,294.0
ASL,program,6.0,67.66666666666667,17.143187827498387,293.88888888888886
ASL,clock,5.0,78.8,17.13942822850284,293.76
ASL,certificate,6.0,67.83333333333333,17.072557577065666,291.47222222222223
ASL,trade,13.0,69.38461538461539,17.063404212337275,291.15976331360946
ASL,opposite,5.0,71.4,17.059894489708896,291.0399999999999
VSL,Lượm,2.0,86.0,17.0,289.0
VSL,ngày Phụ nữ Việt Nam 20_10,3.0,121.33333333333331,16.996731711975947,288.88888888888886
VSL,bốt điện,3.0,109.0,16.97056274847714,288.0
ASL,from,7.0,70.42857142857143,16.96936014331328,287.9591836734694
ASL,share,7.0,67.57142857142857,16.96936014331328,287.95918367346934
ASL,math,7.0,69.14285714285714,16.96575181634688,287.8367346938776
ASL,spill,4.0,69.75,16.887495373796554,285.1875
VSL,vui sướng,3.0,117.66666666666669,16.73983937265296,280.22222222222223
ASL,parachute,4.0,78.75,16.723860200324566,279.6875
ASL,gas,7.0,70.71428571428571,16.71367520252533,279.3469387755102
ASL,through,5.0,71.2,16.678129391511508,278.16
ASL,helmet,5.0,71.2,16.666133324799727,277.76000000000005
VSL,bút màu,3.0,96.66666666666669,16.519348924485158,272.8888888888889
ASL,trophy,5.0,75.0,16.516658257650064,272.8
ASL,post,2.0,76.5,16.5,272.25
ASL,negotiate,3.0,71.66666666666667,16.49915822768611,272.22222222222223
VSL,anh dũng,3.0,88.66666666666667,16.49915822768611,272.22222222222223
ASL,investigate,6.0,74.16666666666667,16.47641411904369,271.47222222222223
ASL,all,8.0,67.75,16.444984037693683,270.4375
ASL,effort,4.0,76.25,16.43738117827776,270.1875
ASL,sorry,7.0,74.0,16.388149028228554,268.57142857142856
VSL,thành lập,4.0,97.0,16.355427233796124,267.5
ASL,subway,5.0,74.0,16.334013591276335,266.8
ASL,tolerate,4.0,76.75,16.315253599009733,266.1875
ASL,geography,7.0,71.71428571428571,16.298240796516186,265.6326530612245
ASL,screwdriver,6.0,77.66666666666667,16.275407487644937,264.8888888888889
ASL,sheep,5.0,75.4,16.243152403397563,263.84
VSL,no,3.0,97.66666666666669,16.21384867602041,262.88888888888886
ASL,scientist,5.0,90.2,16.191355718407276,262.16
ASL,september,5.0,74.6,16.181470884935027,261.84000000000003
ASL,wood,6.0,73.33333333333333,16.162370563200877,261.22222222222223
ASL,purpose,6.0,75.83333333333333,16.149475395676344,260.8055555555556
ASL,remove,7.0,71.0,16.133372687870143,260.2857142857143
ASL,love,7.0,69.28571428571429,16.13084255805174,260.2040816326532
ASL,vocabulary,6.0,68.66666666666667,16.069294390925265,258.22222222222223
ASL,medicine,8.0,73.25,16.060432746349022,257.9375
ASL,sweep,4.0,79.75,16.037066439969625,257.1875
ASL,torture,4.0,75.0,16.0312195418814,257.0
VSL,hẹn,3.0,81.33333333333333,16.027753706895076,256.88888888888886
VSL,kẹo,3.0,71.33333333333333,16.027753706895076,256.88888888888886
VSL,liên hoan,3.0,90.66666666666669,16.027753706895076,256.88888888888886
ASL,nun,4.0,69.25,16.021469970012117,256.6875
VSL,phim hoạt hình,3.0,103.33333333333331,15.965240019770729,254.88888888888889
VSL,đèn vàng,3.0,102.66666666666669,15.965240019770729,254.88888888888889
ASL,publish,6.0,74.83333333333333,15.962629969887654,254.80555555555557
ASL,presentation,8.0,68.875,15.948648061826432,254.359375
VSL,đèn xanh,3.0,104.0,15.937377450509228,254.0
VSL,màn,3.0,93.66666666666669,15.86050300449376,251.5555555555556
ASL,label,6.0,72.83333333333333,15.81577974330981,250.1388888888889
ASL,maximum,6.0,75.0,15.7797338380595,249.0
ASL,provide,6.0,73.5,15.766525721709693,248.58333333333331
VSL,con lợn (con heo),3.0,83.33333333333333,15.7550697307953,248.22222222222223
ASL,similar,6.0,77.83333333333333,15.741840920157832,247.8055555555556
ASL,glasses,9.0,71.11111111111111,15.70876927384082,246.76543209876544
ASL,cemetery,6.0,74.16666666666667,15.65691185671328,245.13888888888889
ASL,study,10.0,73.8,15.644807445283565,244.76000000000005
ASL,preacher,3.0,75.66666666666667,15.627610892974724,244.22222222222223
ASL,river,5.0,71.0,15.620499351813308,244.0
ASL,parade,6.0,73.33333333333333,15.616942366829967,243.88888888888883
ASL,soccer,5.0,74.6,15.589740215924062,243.04
ASL,speech,10.0,65.3,15.569521508382971,242.41
ASL,clumsy,5.0,75.0,15.53061492665374,241.2
VSL,điều phối,2.0,85.5,15.5,240.25
ASL,role,5.0,72.2,15.445387661046258,238.56
ASL,rainbow,5.0,71.4,15.435025105259788,238.23999999999995
ASL,wine,5.0,76.0,15.427248620541512,238.0
ASL,cake,8.0,70.0,15.394804318340652,237.0
ASL,january,5.0,74.8,15.380507143784303,236.56
ASL,sore throat,6.0,81.33333333333333,15.358674711344364,235.88888888888889
ASL,melt,4.0,74.25,15.35211711784404,235.6875
ASL,skirt,6.0,71.83333333333333,15.345104177626888,235.4722222222222
ASL,within,5.0,74.4,15.317963311093289,234.64
ASL,terrible,6.0,70.0,15.275252316519468,233.33333333333331
VSL,bắt đền,3.0,129.0,15.253414918196734,232.66666666666663
ASL,careful,9.0,68.22222222222223,15.222627731825026,231.72839506172835
ASL,evaluate,5.0,69.8,15.197368193210297,230.96
ASL,popular,6.0,69.33333333333333,15.184055965240498,230.5555555555556
ASL,war,7.0,71.57142857142857,15.183234577813057,230.530612244898
ASL,plenty,5.0,70.4,15.16047492659778,229.84
ASL,fall in love,5.0,74.8,15.157836257197133,229.76
ASL,stretch,4.0,68.75,15.155444566227676,229.6875
ASL,niece,7.0,67.71428571428571,15.125326780075916,228.77551020408168
ASL,heart attack,5.0,70.0,15.11290838985005,228.4
ASL,moon,7.0,73.0,15.0996688705415,228.0
ASL,odd,4.0,70.0,15.0996688705415,228.0
ASL,close,8.0,68.75,15.08931741332258,227.6875
VSL,ngọn cây,3.0,82.66666666666667,15.084944665313014,227.5555555555556
VSL,vui mừng,3.0,92.33333333333331,15.084944665313014,227.5555555555556
ASL,germany,6.0,69.0,15.044378795195678,226.33333333333331
ASL,postpone,8.0,68.625,15.041089554949137,226.234375
VSL,Tết Âm,2.0,97.0,15.0,225.0
ASL,future,9.0,65.66666666666667,14.996295838935987,224.88888888888889
ASL,witness,6.0,68.16666666666667,14.971268780196583,224.1388888888889
ASL,july,4.0,73.75,14.956186011146023,223.6875
ASL,stairs,6.0,72.5,14.952703211571256,223.58333333333331
ASL,camel,4.0,70.25,14.939461168328664,223.1875
ASL,poor,6.0,66.66666666666667,14.9071198499986,222.22222222222223
ASL,relate,5.0,70.6,14.88086019019062,221.44
VSL,tưởng tượng,4.0,92.75,14.85555451674558,220.6875
VSL,nhà nước,3.0,86.0,14.854853303438128,220.66666666666663
ASL,magazine,5.0,76.4,14.82700239428051,219.84
ASL,swimming,6.0,78.33333333333333,14.806154876341877,219.22222222222223
ASL,recover,6.0,73.66666666666667,14.794894014114764,218.88888888888889
ASL,function,7.0,76.71428571428571,14.78140033685467,218.48979591836735
ASL,over,6.0,69.83333333333333,14.746939418815764,217.47222222222223
ASL,rent,5.0,71.4,14.74584687293341,217.44
ASL,flag,6.0,76.66666666666667,14.73846064628943,217.22222222222223
ASL,hide,5.0,72.0,14.710540438746634,216.4
ASL,restroom,3.0,70.33333333333333,14.613540144521982,213.5555555555556
VSL,ai,3.0,90.33333333333331,14.613540144521982,213.5555555555556
ASL,willing,6.0,70.33333333333333,14.613540144521982,213.55555555555557
ASL,pull,9.0,71.0,14.575474072716965,212.44444444444449
ASL,noon,6.0,73.5,14.557357818871756,211.91666666666663
ASL,kneel,4.0,73.25,14.549484526951462,211.6875
ASL,peel,4.0,73.25,14.549484526951462,211.6875
ASL,machine,6.0,73.0,14.53730832490435,211.33333333333331
ASL,monthly,4.0,82.5,14.534441853748634,211.25
ASL,predict,6.0,73.33333333333333,14.53348623772776,211.2222222222222
ASL,wonderful,6.0,72.16666666666667,14.473155226909652,209.4722222222222
ASL,across,6.0,70.16666666666667,14.45010572817914,208.8055555555556
ASL,sweetheart,6.0,71.0,14.445299120013631,208.66666666666663
ASL,salary,5.0,68.2,14.441606558828555,208.56
ASL,satisfy,5.0,71.4,14.38888459888396,207.04
ASL,community,6.0,71.5,14.361406616345072,206.25
ASL,policy,6.0,67.0,14.352700094407323,206.0
ASL,wind,8.0,78.75,14.350522638566163,205.9375
ASL,play,11.0,71.45454545454545,14.342331726007558,205.70247933884292
ASL,surface,6.0,72.33333333333333,14.337208778404378,205.55555555555557
ASL,skinny,6.0,68.5,14.326548781894402,205.25
ASL,swing,4.0,78.75,14.306903927824496,204.6875
ASL,florida,4.0,73.75,14.289419162443238,204.1875
ASL,lead,7.0,72.28571428571429,14.279998856685486,203.9183673469388
ASL,recognize,5.0,71.6,14.263239463740346,203.44
ASL,month,7.0,66.14285714285714,14.247090644645128,202.97959183673467
ASL,octopus,5.0,76.4,14.22111106770494,202.24
ASL,button,5.0,71.6,14.207040508142432,201.84
ASL,nation,5.0,70.4,14.207040508142432,201.84
ASL,toast,10.0,68.4,14.1718029904455,200.84
ASL,separate,6.0,72.5,14.16274455511125,200.58333333333331
ASL,money,6.0,66.33333333333333,14.161763857498668,200.5555555555556
ASL,quote,6.0,66.33333333333333,14.161763857498668,200.5555555555556
ASL,violin,7.0,79.42857142857143,14.16088317319573,200.530612244898
ASL,expand,4.0,69.75,14.14876319683102,200.1875
VSL,chả cá,3.0,114.0,14.142135623730953,200.0
ASL,stamp,5.0,71.4,14.136477637657832,199.84
ASL,senior,6.0,71.5,14.115594213493104,199.25
ASL,anatomy,4.0,71.75,14.095655359010449,198.6875
ASL,aim,5.0,70.0,14.085453489327207,198.4
ASL,tornado,5.0,70.0,14.085453489327207,198.4
ASL,idea,8.0,66.25,14.077908225301089,198.1875
VSL,nghỉ hè,3.0,97.33333333333331,14.055445761538676,197.55555555555557
ASL,carry,7.0,69.14285714285714,14.004372495031394,196.12244897959184
VSL,vào mùa,2.0,91.0,14.0,196.0
ASL,fishing,6.0,71.83333333333333,13.981138087517133,195.4722222222222
ASL,perspective,10.0,67.0,13.971399357258385,195.2
ASL,table,5.0,68.6,13.965672200076874,195.04
VSL,lễ Nô-en,3.0,108.66666666666669,13.960261060914616,194.88888888888889
ASL,theory,10.0,67.9,13.931618714277247,194.09
ASL,relax,4.0,70.75,13.91716565971678,193.6875
ASL,reason,7.0,68.42857142857143,13.854933549947807,191.95918367346937
ASL,lawyer,5.0,82.2,13.84774349849101,191.76
ASL,tan,5.0,70.6,13.821722034536798,191.04
ASL,fix,6.0,67.5,13.756816492197604,189.25
ASL,network,6.0,68.66666666666667,13.73155328269732,188.5555555555556
ASL,traffic,6.0,68.83333333333333,13.704216707114476,187.80555555555557
ASL,hawaii,7.0,67.28571428571429,13.697906886134993,187.63265306122443
VSL,quận,3.0,80.66666666666667,13.67073110293992,186.8888888888889
ASL,window,6.0,70.0,13.650396819628847,186.33333333333331
ASL,opinion,7.0,68.42857142857143,13.64715713836342,186.24489795918365
ASL,breeze,4.0,78.25,13.626720074911644,185.6875
ASL,snake,7.0,68.57142857142857,13.626205245326194,185.6734693877551
ASL,quarter,5.0,70.2,13.6,184.96
ASL,tutor,5.0,70.2,13.6,184.96
ASL,shop,6.0,71.0,13.564659966250536,184.0
ASL,recent,7.0,69.85714285714286,13.548100250889911,183.5510204081633
ASL,impossible,6.0,70.16666666666667,13.545191848852577,183.47222222222223
ASL,south america,6.0,85.33333333333333,13.523641850067197,182.8888888888889
ASL,algebra,5.0,67.0,13.505554412907308,182.4
ASL,mature,4.0,68.75,13.47915056670857,181.6875
ASL,keyboard,6.0,70.16666666666667,13.47116261583321,181.47222222222223
VSL,phiên dịch,3.0,90.0,13.4412301024373,180.66666666666663
ASL,quarrel,4.0,67.75,13.4233937586588,180.1875
ASL,stir,4.0,67.75,13.4233937586588,180.1875
ASL,situation,6.0,73.16666666666667,13.42158295019216,180.13888888888889
ASL,character,7.0,69.85714285714286,13.399664936414016,179.55102040816325
ASL,none,7.0,68.42857142857143,13.393571409524824,179.3877551020408
ASL,thirsty,8.0,72.625,13.350444749146,178.234375
ASL,match,8.0,67.25,13.311179511974135,177.1875
ASL,travel,9.0,68.0,13.308309851784752,177.11111111111111
ASL,visitor,5.0,80.2,13.302631318652711,176.96
VSL,tự vệ,3.0,99.66666666666669,13.299958228840003,176.8888888888889
ASL,skunk,5.0,69.4,13.29059818066892,176.64
ASL,secretary,10.0,66.4,13.283071933856265,176.44
ASL,scotland,6.0,67.83333333333333,13.259168735465868,175.80555555555557
ASL,grow,6.0,71.16666666666667,13.246592853342412,175.47222222222226
ASL,accident,13.0,65.23076923076923,13.232558018613648,175.10059171597638
ASL,place,5.0,68.0,13.206059215375342,174.4
