metric,dataset,count,mean,std,median,q1,q3,min,max
max_velocity,VSL,4357,48.36808191342777,28.305499532877523,40.389801025390625,32.20112991333008,53.93644714355469,4.934694290161133,311.2331237792969
velocity_std,ASL,11972,5.939063342156695,3.043338514875687,5.62803688711953,3.83805395354222,7.505242780540853,0.29086368099105736,42.19270473706215
velocity_std,VSL,4357,9.348563381504619,4.593069703155347,8.15677310159015,6.807998120648149,10.262166561263886,0.9126008167032437,72.5353321509568
mean_acceleration,ASL,11972,5.377386816248728,2.911819933751371,4.813278278275592,3.3119093061521134,6.840378700874286,0.2551414483580096,23.67415129620096
mean_acceleration,VSL,4357,5.6924896353288394,3.176989453087425,4.8844997974542474,3.857287378872142,6.433167335439901,0.7509399097541283,72.75206665765671
max_acceleration,ASL,11972,23.86026494306065,15.035811141709404,20.57541561126709,13.690612077713013,30.07249164581299,1.2687324285507202,324.0382995605469
max_acceleration,VSL,4357,36.70007026384313,24.842648643208683,29.93243408203125,22.3193416595459,41.530235290527344,4.934694290161133,274.65509033203125
acceleration_std,ASL,11972,7.519969853562936,4.121337681834677,6.7040029649490265,4.659340663219574,9.526235141283722,0.4517937247022315,54.46984188350039
acceleration_std,VSL,4357,9.122484334877708,5.407949448765592,7.701037227955757,6.071277563602512,10.143042326652111,1.404128056843002,100.84863541790581
trajectory_length,ASL,11972,12.067893587459391,7.389343667896283,10.995932105462998,6.732760829618201,16.174172421568073,0.24688362493179739,74.1299189189449
trajectory_length,VSL,4357,25.014237431423233,14.884932993034003,21.24360464513302,15.148725701961666,30.09824570035562,0.42178410291671753,144.27735999040306
displacement,ASL,11973,0.7730770051755244,0.5350445144654702,0.6441890597343445,0.4022895395755768,0.9994369447231293,0.0171317127533257,5.359389781951904
displacement,VSL,4357,0.41549220056363245,0.5633176145404059,0.23537886142730713,0.13524159789085388,0.4463038593530655,0.01442422904074192,6.84307074546814
straightness_ratio,ASL,11972,0.13693136019992383,0.11007170767288844,0.10741837879568833,0.062719817026453,0.17768104362997322,0.0025052802872141872,2.1231402376714525
straightness_ratio,VSL,4357,0.03870193942510563,0.053503829319758195,0.020249511158730873,0.01045867644179667,0.04472996815041193,0.0008735836873982813,0.9950502281203095
direction_change_count,ASL,11973,40.79002756201453,20.325428349947806,38.0,25.0,52.0,0.0,170.0
direction_change_count,VSL,4357,67.25063116823502,35.956615503645494,61.0,42.0,86.0,0.0,364.0
trajectory_bbox_area,ASL,11973,0.33548306118797333,0.3261260128318546,0.24844413995742798,0.11079658567905426,0.45971469581127167,4.507994162850082e-05,3.8101859092712402
trajectory_bbox_area,VSL,4357,0.8229001651004942,0.7653036598269006,0.6338969469070435,0.43303267657756805,0.97776859998703,0.0023731536930426955,21.89250946044922
hand_face_dist_mean,ASL,11973,2.3995940248856162,0.4700235409583129,2.377572028173341,2.080040677291591,2.690031439917428,0.7157343663275242,5.592378350098928
hand_face_dist_mean,VSL,4357,2.8817623896154956,0.844405214137486,2.8107190779460374,2.476153844442123,3.1748658475421725,1.6152432820489329,45.135801285032244
hand_face_dist_std,ASL,11973,0.35852716433343756,0.19689495432562037,0.31810197655352923,0.22342618837394457,0.4466932646390073,0.020139268060695516,3.524255456336433
hand_face_dist_std,VSL,4357,0.6726615305201092,0.3702843703919676,0.5835873238280105,0.428606387890773,0.8137453450510954,0.021111434495072905,4.011708352990276
hand_body_dist_mean,ASL,11973,2.2121815397521716,0.8575944333023355,1.9536483074937547,1.561016460161398,2.8164103627204895,0.5771692069071643,5.197071858814785
hand_body_dist_mean,VSL,4357,2.4880075918599127,0.9683254041176367,2.1927471190323065,1.8681982502662877,2.9187033608251687,0.820400049785773,30.22922973027305
hand_body_dist_std,ASL,11973,0.4890700508769109,0.23924908639925915,0.45351973593737316,0.3231759187049508,0.621682143902262,0.03083197955036505,2.4674207802144363
hand_body_dist_std,VSL,4357,1.092716681562659,0.4260400272904111,1.057048051494288,0.7860697791673824,1.3623931010365562,0.10775610415252806,9.434171773371071
left_right_hand_dist_mean,ASL,8157,1.452657108307008,0.6260282109288939,1.3321596344312032,1.0962538719177246,1.6362463017789328,0.2974119002620379,6.33001218523298
left_right_hand_dist_mean,VSL,3495,1.973123819455737,1.3325137129026912,1.5959290243961193,1.293910521367104,2.3258716219276594,0.42619192650762655,53.40435451931424
left_right_hand_dist_std,ASL,8157,0.30634531255865804,0.21923994937204827,0.2548391881276847,0.15698588125913224,0.3957117473384483,0.0,2.289829910386145
left_right_hand_dist_std,VSL,3495,0.8010892151042367,0.7133449280061187,0.48060771486710185,0.28192673540842267,1.1886116865797889,0.0,6.297437534301592
