dataset,file,key,shape,dtype
VSL,/content/drive/MyDrive/data/6_vsl/VSL/Mặt trời mọc/W02219.npz,train_feature_dim,(),int32
VSL,/content/drive/MyDrive/data/6_vsl/VSL/Mặt trời mọc/W02219.npz,pose,"(98, 330)",float16
VSL,/content/drive/MyDrive/data/6_vsl/VSL/Mặt trời mọc/W02219.npz,hands,"(98, 252)",float16
VSL,/content/drive/MyDrive/data/6_vsl/VSL/Mặt trời mọc/W02219.npz,face,"(98, 52)",float16
VSL,/content/drive/MyDrive/data/6_vsl/VSL/Mặt trời mọc/W02219.npz,mouth,"(98, 36)",float16
VSL,/content/drive/MyDrive/data/6_vsl/VSL/Mặt trời mọc/W02219.npz,valid_mask,"(98, 4)",uint8
VSL,/content/drive/MyDrive/data/6_vsl/VSL/Nam bán cầu/W02284.npz,label,(),<U11
VSL,/content/drive/MyDrive/data/6_vsl/VSL/Nam bán cầu/W02284.npz,video_name,(),<U10
VSL,/content/drive/MyDrive/data/6_vsl/VSL/Nam bán cầu/W02284.npz,target_frames,(),int32
VSL,/content/drive/MyDrive/data/6_vsl/VSL/Nam bán cầu/W02284.npz,source_fps,(),float32
VSL,/content/drive/MyDrive/data/6_vsl/VSL/Nam bán cầu/W02284.npz,source_total_frames,(),int32
VSL,/content/drive/MyDrive/data/6_vsl/VSL/Nam bán cầu/W02284.npz,sample_indices,"(91,)",int32
VSL,/content/drive/MyDrive/data/6_vsl/VSL/Nam bán cầu/W02284.npz,train_feature_dim,(),int32
VSL,/content/drive/MyDrive/data/6_vsl/VSL/Nam bán cầu/W02284.npz,pose,"(91, 330)",float16
VSL,/content/drive/MyDrive/data/6_vsl/VSL/Nam bán cầu/W02284.npz,hands,"(91, 252)",float16
VSL,/content/drive/MyDrive/data/6_vsl/VSL/Nam bán cầu/W02284.npz,face,"(91, 52)",float16
VSL,/content/drive/MyDrive/data/6_vsl/VSL/Nam bán cầu/W02284.npz,mouth,"(91, 36)",float16
VSL,/content/drive/MyDrive/data/6_vsl/VSL/Nam bán cầu/W02284.npz,valid_mask,"(91, 4)",uint8
VSL,/content/drive/MyDrive/data/6_vsl/VSL/Nam Định/W02285.npz,label,(),<U8
VSL,/content/drive/MyDrive/data/6_vsl/VSL/Nam Định/W02285.npz,video_name,(),<U10
VSL,/content/drive/MyDrive/data/6_vsl/VSL/Nam Định/W02285.npz,target_frames,(),int32
VSL,/content/drive/MyDrive/data/6_vsl/VSL/Nam Định/W02285.npz,source_fps,(),float32
VSL,/content/drive/MyDrive/data/6_vsl/VSL/Nam Định/W02285.npz,source_total_frames,(),int32
VSL,/content/drive/MyDrive/data/6_vsl/VSL/Nam Định/W02285.npz,sample_indices,"(94,)",int32
VSL,/content/drive/MyDrive/data/6_vsl/VSL/Nam Định/W02285.npz,train_feature_dim,(),int32
VSL,/content/drive/MyDrive/data/6_vsl/VSL/Nam Định/W02285.npz,pose,"(94, 330)",float16
VSL,/content/drive/MyDrive/data/6_vsl/VSL/Nam Định/W02285.npz,hands,"(94, 252)",float16
VSL,/content/drive/MyDrive/data/6_vsl/VSL/Nam Định/W02285.npz,face,"(94, 52)",float16
VSL,/content/drive/MyDrive/data/6_vsl/VSL/Nam Định/W02285.npz,mouth,"(94, 36)",float16
VSL,/content/drive/MyDrive/data/6_vsl/VSL/Nam Định/W02285.npz,valid_mask,"(94, 4)",uint8
VSL,/content/drive/MyDrive/data/6_vsl/VSL/Nhật (nước Nhật)/W02492B.npz,label,(),<U16
VSL,/content/drive/MyDrive/data/6_vsl/VSL/Nhật (nước Nhật)/W02492B.npz,video_name,(),<U11
VSL,/content/drive/MyDrive/data/6_vsl/VSL/Nhật (nước Nhật)/W02492B.npz,target_frames,(),int32
VSL,/content/drive/MyDrive/data/6_vsl/VSL/Nhật (nước Nhật)/W02492B.npz,source_fps,(),float32
VSL,/content/drive/MyDrive/data/6_vsl/VSL/Nhật (nước Nhật)/W02492B.npz,source_total_frames,(),int32
VSL,/content/drive/MyDrive/data/6_vsl/VSL/Nhật (nước Nhật)/W02492B.npz,sample_indices,"(84,)",int32
VSL,/content/drive/MyDrive/data/6_vsl/VSL/Nhật (nước Nhật)/W02492B.npz,train_feature_dim,(),int32
VSL,/content/drive/MyDrive/data/6_vsl/VSL/Nhật (nước Nhật)/W02492B.npz,pose,"(84, 330)",float16
VSL,/content/drive/MyDrive/data/6_vsl/VSL/Nhật (nước Nhật)/W02492B.npz,hands,"(84, 252)",float16
VSL,/content/drive/MyDrive/data/6_vsl/VSL/Nhật (nước Nhật)/W02492B.npz,face,"(84, 52)",float16
VSL,/content/drive/MyDrive/data/6_vsl/VSL/Nhật (nước Nhật)/W02492B.npz,mouth,"(84, 36)",float16
VSL,/content/drive/MyDrive/data/6_vsl/VSL/Nhật (nước Nhật)/W02492B.npz,valid_mask,"(84, 4)",uint8
