VSL_gloss,ASL_gloss,cosine_similarity,similarity_score,sample_count_VSL,sample_count_ASL,top_difference_features
sách,book,0.22698432937136187,0.6134921646856809,1,6,handshape (67.8%); movement (25.3%); orientation (6.9%)
con cá,fish,0.28554805374546965,0.6427740268727349,3,10,handshape (52.8%); movement (35.3%); orientation (11.6%)
mũ,hat,0.4405946842825065,0.7202973421412533,1,9,handshape (58.9%); movement (25.2%); orientation (15.9%)
nghe,hearing,0.49889797295544663,0.7494489864777233,1,8,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
hôn,kiss,0.6008088698907159,0.800404434945358,1,9,handshape (56.8%); movement (31.9%); orientation (11.3%)
ngôn ngữ,language,-0.001930589777492251,0.49903470511125386,1,10,handshape (83.0%); movement (11.1%); orientation (5.9%)
màu trắng,white,0.08430549936482645,0.5421527496824132,3,10,handshape (70.8%); movement (18.3%); orientation (10.1%)
quả táo,apple,0.045904019378158425,0.5229520096890792,2,11,handshape (69.0%); movement (20.0%); orientation (10.5%)
con chim,bird,-0.27194911743546024,0.3640254412822699,1,10,handshape (54.3%); movement (36.8%); orientation (8.0%)
biến đổi,change,0.5713714713601704,0.7856857356800853,1,12,handshape (64.9%); movement (19.1%); orientation (16.0%)
bắp ngô,corn,-0.18809041955449524,0.4059547902227524,3,12,handshape (71.3%); movement (20.1%); orientation (8.6%)
con bò,cow,0.23622309495777305,0.6181115474788865,3,9,handshape (54.7%); movement (40.8%); orientation (4.4%)
nhảy múa,dance,0.1530568930397522,0.5765284465198761,1,7,handshape (83.8%); movement (9.6%); orientation (6.6%)
ăn uống,eat,-0.37927548803577055,0.31036225598211475,1,7,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
thích thú,enjoy,-0.49070407568030805,0.254647962159846,3,8,handshape (81.1%); movement (8.5%); orientation (7.5%)
quên,forget,-0.15323609405953642,0.4233819529702318,1,7,handshape (69.8%); movement (22.4%); orientation (6.9%)
gặp gỡ,meet,0.8263704048638106,0.9131852024319054,1,9,handshape (68.1%); movement (21.4%); orientation (10.5%)
bánh pizza,pizza,0.5583708086541639,0.7791854043270819,1,12,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
chơi,play,0.3806497566057079,0.6903248783028539,2,11,handshape (65.5%); movement (28.4%); orientation (6.1%)
nhà trường,school,0.27326442124462996,0.636632210622315,3,9,handshape (49.1%); movement (34.6%); orientation (16.4%)
ngắn,short,-0.20701819245366743,0.3964909037731663,1,13,handshape (59.7%); movement (29.7%); orientation (10.6%)
muốn,want,0.028902699388431076,0.5144513496942156,3,9,handshape (53.1%); movement (28.5%); orientation (16.8%)
làm việc,work,0.7659041108934355,0.8829520554467177,1,10,handshape (69.6%); movement (16.8%); orientation (13.7%)
ngày sinh,birthday,-0.5699117015290714,0.21504414923546428,3,6,handshape (64.0%); movement (29.8%); orientation (6.1%)
màu nâu,brown,0.10746835609034795,0.553734178045174,3,8,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
nhưng,but,-0.40315489182915665,0.2984225540854217,3,7,handshape (75.4%); movement (15.0%); orientation (9.6%)
quyết định,decide,0.09231427537657419,0.5461571376882871,3,9,handshape (53.0%); movement (33.8%); orientation (13.2%)
giấy,paper,0.7592495108071641,0.8796247554035821,3,8,handshape (64.5%); movement (27.7%); orientation (6.8%)
kéo,pull,-0.07166362757659803,0.464168186211701,1,9,handshape (71.6%); movement (20.4%); orientation (6.9%)
giống nhau,same,0.7188661067780748,0.8594330533890374,1,9,handshape (71.9%); movement (23.1%); orientation (4.9%)
ghé thăm,visit,-0.07749628792777447,0.46125185603611274,1,9,handshape (83.4%); movement (8.5%); orientation (7.2%)
trông chờ,wait,0.5195582803041064,0.7597791401520533,3,10,handshape (49.8%); movement (43.9%); orientation (6.3%)
cặp sách,backpack,0.41791514603812907,0.7089575730190645,1,8,handshape (75.0%); movement (21.0%); orientation (4.0%)
anh em,brother,0.10086044741057723,0.5504302237052886,3,11,handshape (63.7%); movement (27.3%); orientation (8.9%)
con mèo,cat,0.20216593968554253,0.6010829698427713,3,9,handshape (65.4%); movement (28.4%); orientation (6.2%)
lớp,class,-0.23895022353065107,0.38052488823467445,1,9,handshape (52.4%); movement (40.2%); orientation (5.7%)
khóc,cry,-0.059418464909736346,0.4702907675451318,1,10,handshape (65.6%); movement (25.6%); orientation (7.4%)
màu xanh lá cây,green,-0.1067262886789406,0.4466368556605297,3,7,handshape (57.5%); movement (34.0%); orientation (7.3%)
dao,knife,0.6523961720440723,0.8261980860220361,1,6,handshape (71.2%); movement (18.8%); orientation (10.0%)
tươi cười,laugh,-0.27777560759732195,0.36111219620133905,1,11,handshape (64.9%); movement (30.5%); orientation (4.6%)
con thỏ,rabbit,0.0009896825533305537,0.5004948412766653,1,8,movement (59.5%); handshape (23.1%); spatial relationship (13.3%)
đọc sách,read,0.7723215040145935,0.8861607520072967,1,6,handshape (63.8%); movement (25.4%); orientation (10.7%)
màu đỏ,red,0.15767642204452992,0.578838211022265,1,7,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
phòng học tin học,room,-0.006698108163799397,0.49665094591810033,1,11,handshape (73.9%); movement (18.8%); orientation (7.3%)
chạy,run,0.4054186618473443,0.7027093309236722,1,7,handshape (52.2%); movement (41.8%); orientation (6.1%)
ốm đau,sick,-0.42996440326465624,0.2850177983676719,1,8,handshape (75.4%); movement (17.7%); orientation (6.8%)
trà,tea,0.17542929841972793,0.5877146492098639,1,7,handshape (78.8%); movement (18.1%); orientation (3.0%)
cô giáo,teacher,-0.3207416812668948,0.3396291593665526,3,8,handshape (59.7%); movement (25.1%); orientation (13.5%)
tuần,week,0.4794007147739965,0.7397003573869982,3,9,handshape (53.4%); movement (30.6%); orientation (16.0%)
nhà vệ sinh,bathroom,-0.033763702444135534,0.48311814877793224,1,7,handshape (64.8%); movement (21.5%); orientation (7.6%)
chăn (cái chăn),blanket,0.16980307451455434,0.5849015372572772,3,10,movement (52.6%); handshape (41.9%); orientation (5.3%)
pha cà phê,coffee,-0.1690717833479204,0.4154641083260398,1,7,handshape (82.0%); movement (12.5%); orientation (5.6%)
chép bài,copy,-0.11888007445401645,0.44055996277299175,1,8,handshape (68.6%); movement (21.3%); orientation (10.1%)
dễ thương,cute,0.40872590247112955,0.7043629512355648,1,7,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
bạn,friend,-0.5321191590731288,0.2339404204634356,3,7,handshape (76.0%); movement (17.7%); orientation (6.3%)
vui mừng,happy,0.38961195900384504,0.6948059795019226,3,8,handshape (48.5%); movement (43.9%); orientation (7.7%)
ghi nhớ,remember,-0.31343704585601373,0.34328147707199314,1,7,handshape (79.3%); movement (14.6%); orientation (6.1%)
kiểm tra,test,0.0097428185306264,0.5048714092653132,3,8,handshape (65.3%); movement (22.6%); orientation (10.9%)
mệt mỏi,tired,0.3655331869721244,0.6827665934860622,1,7,handshape (48.2%); movement (34.1%); spatial relationship (11.8%)
cửa sổ,window,0.9059903383859015,0.9529951691929508,1,6,handshape (67.6%); movement (25.1%); orientation (7.3%)
bạn,you,-0.18631400845972618,0.40684299577013694,3,8,handshape (53.3%); movement (37.7%); orientation (7.7%)
quả chuối,banana,-0.12477831773387574,0.43761084113306215,1,9,handshape (77.9%); movement (12.1%); orientation (10.1%)
con trai,boy,0.25433265212095785,0.627166326060479,1,8,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
nói chuyện,chat,-0.10351149040080418,0.4482442547995979,1,9,handshape (69.6%); movement (18.2%); orientation (12.2%)
đồng hồ,clock,0.4278382473483687,0.7139191236741844,1,5,handshape (69.4%); movement (20.5%); orientation (10.1%)
đóng cửa,close,0.6177224501546745,0.8088612250773373,1,8,handshape (74.1%); movement (19.6%); orientation (6.3%)
ban ngày,day,0.03293523691798092,0.5164676184589905,1,9,movement (55.7%); handshape (39.2%); orientation (5.1%)
bàn bạc,discuss,-0.07777171347387003,0.461114143263065,1,8,handshape (83.3%); movement (9.7%); orientation (7.0%)
béo,fat,0.3870131943015449,0.6935065971507725,1,10,handshape (61.2%); movement (22.5%); orientation (16.3%)
trò chơi,game,-0.34335201197288967,0.32832399401355516,1,6,handshape (73.7%); movement (14.6%); orientation (11.7%)
con gái,girl,-0.05516476055701264,0.47241761972149365,1,9,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
chính phủ,government,0.3374735226484534,0.6687367613242267,2,10,handshape (53.7%); movement (28.3%); orientation (18.0%)
nghe,hear,0.235519220240035,0.6177596101200175,1,9,handshape (67.0%); movement (18.3%); orientation (13.7%)
nhà cửa,house,0.4134668132847831,0.7067334066423916,1,7,handshape (67.3%); movement (25.2%); orientation (7.5%)
mới,new,0.761695784530287,0.8808478922651435,3,9,handshape (58.8%); movement (32.1%); orientation (9.1%)
không có,none,0.19561802000126946,0.5978090100006347,1,7,handshape (49.1%); movement (36.6%); orientation (14.3%)
luyện tập,practice,0.02035111392230323,0.5101755569611516,1,9,handshape (90.3%); movement (7.5%); orientation (2.1%)
Liên Bang Nga (nước Nga),russia,0.016624289036321453,0.5083121445181608,3,8,handshape (53.6%); spatial relationship (21.7%); movement (16.3%)
muối,salt,-0.09104091672005026,0.4544795416399749,1,8,handshape (70.4%); movement (19.0%); orientation (10.5%)
bánh sandwich,sandwich,0.5565190319274271,0.7782595159637136,1,10,handshape (60.0%); movement (25.3%); orientation (14.7%)
học sinh Miền Nam,student,-0.2303956365521925,0.38480218172390374,1,8,handshape (81.1%); movement (13.4%); orientation (5.5%)
dạy,teach,-0.08723658353147157,0.4563817082342642,1,7,handshape (63.9%); movement (23.3%); orientation (11.8%)
bắt,catch,0.11075217919404612,0.555376089597023,1,9,handshape (72.6%); movement (18.0%); orientation (8.1%)
phương Đông,east,0.09671074375307667,0.5483553718765384,1,8,handshape (76.5%); movement (16.4%); orientation (6.3%)
trứng,egg,-0.08664145976908662,0.45667927011545667,3,7,handshape (69.8%); movement (23.3%); orientation (7.0%)
môi trường,environment,-0.18431705487361305,0.4078414725631935,1,11,handshape (78.8%); movement (15.6%); orientation (5.6%)
cha,father,0.16735142427698996,0.583675712138495,1,7,handshape (73.4%); movement (14.8%); orientation (10.5%)
bông hoa,flower,0.3530211500077698,0.6765105750038849,3,7,handshape (65.0%); movement (23.1%); orientation (11.9%)
thân thiện,friendly,0.31404683364005087,0.6570234168200254,1,7,handshape (60.7%); movement (31.0%); orientation (7.2%)
kính,glasses,-0.0639625947665712,0.4680187026167144,1,9,handshape (60.9%); movement (28.7%); orientation (9.2%)
tim,heart,0.016550619214299664,0.5082753096071498,1,8,handshape (62.0%); movement (23.6%); orientation (9.5%)
khiêm tốn,humble,-0.07306081000888379,0.4634695949955581,1,8,handshape (63.7%); movement (25.1%); orientation (9.8%)
internet,internet,0.7163962826360233,0.8581981413180116,1,8,handshape (60.1%); movement (28.9%); orientation (11.0%)
giết,kill,-0.06239594950649223,0.4688020252467539,1,7,handshape (52.8%); movement (33.3%); orientation (12.3%)
sữa,milk,0.11094044578434187,0.555470222892171,3,5,handshape (58.1%); movement (30.2%); orientation (10.2%)
tháng,month,-0.34228528358134536,0.3288573582093273,3,7,handshape (74.1%); movement (17.6%); orientation (8.3%)
di chuyển,move,0.2170175499407651,0.6085087749703826,1,10,handshape (60.4%); movement (28.7%); orientation (9.5%)
buổi trưa,noon,0.15308237547642367,0.5765411877382118,3,6,handshape (61.2%); movement (36.5%); orientation (2.2%)
không có,not,0.281868749036134,0.640934374518067,1,7,handshape (52.4%); movement (40.7%); orientation (6.9%)
bệnh nhân,patient,-0.0859962916183798,0.4570018541908101,1,7,handshape (72.9%); movement (22.2%); orientation (4.2%)
củ khoai tây,potato,0.3768783970687356,0.6884391985343679,1,8,handshape (86.8%); movement (9.1%); orientation (4.1%)
buồn thảm,sad,-0.11372565400318481,0.4431371729984076,1,8,handshape (57.9%); movement (30.3%); orientation (10.6%)
tiết kiệm,save,-0.3750464434999271,0.31247677825003645,3,8,handshape (71.1%); movement (23.4%); orientation (5.2%)
xin lỗi,sorry,0.031951503036277036,0.5159757515181386,1,7,handshape (60.5%); movement (23.0%); orientation (16.5%)
nói chuyện,talk,-0.0531778063557517,0.4734110968221241,1,7,movement (46.9%); handshape (44.8%); orientation (6.8%)
nhiệt độ,temperature,0.6986196959538128,0.8493098479769063,1,8,handshape (60.4%); movement (34.1%); orientation (4.4%)
suy nghĩ,think,-0.15596359742748814,0.42201820128625595,2,7,handshape (69.0%); movement (23.1%); orientation (7.9%)
ngày nay,today,-0.04521604034638745,0.47739197982680626,3,9,handshape (61.4%); movement (30.6%); orientation (8.0%)
hiểu,understand,0.13605258073596616,0.5680262903679831,3,7,handshape (74.2%); movement (12.9%); orientation (12.9%)
buồn nôn,vomit,0.06353244384556847,0.5317662219227842,1,9,handshape (76.5%); movement (16.5%); orientation (5.8%)
bỏ phiếu,vote,0.20260478172231272,0.6013023908611563,1,8,handshape (83.6%); movement (12.2%); orientation (4.0%)
phương Tây,west,0.1005297385465141,0.550264869273257,1,8,handshape (66.9%); movement (23.9%); orientation (8.2%)
ẩm ướt,wet,0.03798434049688841,0.5189921702484442,1,9,handshape (59.0%); movement (26.9%); orientation (12.7%)
buổi chiều,afternoon,0.7870309272237431,0.8935154636118716,1,7,handshape (61.8%); movement (29.0%); orientation (9.2%)
bóng bay,balloon,0.534713085391743,0.7673565426958715,1,9,handshape (56.2%); movement (33.0%); orientation (10.7%)
con gấu,bear,0.3043556190166933,0.6521778095083466,1,7,handshape (56.6%); movement (24.5%); orientation (18.9%)
bát,bowl,0.11964669131706686,0.5598233456585334,1,6,handshape (56.2%); movement (26.6%); orientation (15.6%)
hộp,box,0.09905193066670412,0.5495259653333521,1,7,handshape (70.4%); movement (22.4%); orientation (7.2%)
bánh mì,bread,-0.53183507751114,0.23408246124443,3,7,handshape (78.8%); movement (16.3%); orientation (4.9%)
ô tô,car,0.5376044709848792,0.7688022354924395,1,7,handshape (68.6%); movement (23.0%); orientation (8.4%)
con gà,chicken,0.34669392401967314,0.6733469620098366,1,5,handshape (78.5%); movement (16.5%); orientation (5.1%)
chọn lựa,choose,-0.2638043566807877,0.36809782165960614,1,8,handshape (74.7%); movement (15.9%); orientation (8.8%)
nhà thờ,church,-0.35518247933524033,0.32240876033237986,1,6,handshape (73.6%); orientation (13.1%); movement (13.1%)
cốc,cup,0.4428257621766036,0.7214128810883018,1,6,handshape (75.6%); movement (13.1%); orientation (11.3%)
cắt nhau,cut,-0.4181684150632755,0.29091579246836224,1,8,handshape (71.0%); movement (23.3%); orientation (5.7%)
con hươu,deer,0.2548210113125191,0.6274105056562596,1,7,movement (50.4%); handshape (35.6%); spatial relationship (9.7%)
tai,ear,-0.054626291981764545,0.47268685400911775,1,8,handshape (72.0%); movement (20.7%); orientation (7.2%)
con voi,elephant,-0.2581882730534483,0.3709058634732758,3,7,handshape (68.7%); movement (15.2%); orientation (13.0%)
tiếng Anh,english,-0.39462427335462225,0.3026878633226889,3,5,handshape (76.6%); movement (19.3%); orientation (4.1%)
giải thích,explain,-0.13731038120251018,0.4313448093987449,1,7,movement (42.6%); handshape (42.0%); orientation (10.5%)
nền nhà,floor,-0.24876878749785386,0.37561560625107304,1,6,handshape (73.0%); movement (15.0%); orientation (11.7%)
con ruồi,fly,0.20725781142062807,0.603628905710314,1,8,handshape (63.9%); movement (18.5%); orientation (17.5%)
chào,hello,0.11103805892569454,0.5555190294628473,1,4,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
quan trọng,important,-0.5400771404648639,0.22996142976756806,1,8,handshape (68.6%); movement (21.8%); orientation (9.0%)
ghen tị,jealous,0.5965631723407655,0.7982815861703827,3,8,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
to lớn,large,-0.05887385350519715,0.47056307324740143,1,7,handshape (50.7%); movement (46.6%); orientation (2.8%)
quả chanh,lemon,-0.24786113724016595,0.376069431379917,1,8,handshape (71.9%); movement (18.7%); orientation (9.4%)
gương,mirror,0.10838019544771718,0.5541900977238586,1,8,handshape (71.1%); movement (17.2%); orientation (10.3%)
con khỉ,monkey,-0.03953357854993574,0.4802332107250321,1,7,handshape (59.0%); movement (31.9%); orientation (9.1%)
buổi sáng,morning,-0.2555998936512176,0.3722000531743912,3,6,handshape (53.0%); movement (36.8%); orientation (9.3%)
xe máy,motorcycle,0.8299874786722619,0.9149937393361309,1,7,handshape (68.5%); movement (26.4%); orientation (5.1%)
buổi tối,night,0.2529299205791017,0.6264649602895509,3,5,movement (44.8%); handshape (41.8%); orientation (13.4%)
quả ớt,pepper,-0.1517727313963413,0.42411363430182936,1,7,handshape (63.2%); movement (26.0%); orientation (10.9%)
điện thoại,phone,0.6601718892326809,0.8300859446163404,1,5,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
bức tranh,picture,-0.5708465488853663,0.21457672555731683,3,6,handshape (77.3%); movement (15.3%); orientation (7.4%)
mưa phùn,rain,0.2597020717921568,0.6298510358960784,1,7,handshape (53.8%); movement (26.8%); orientation (19.0%)
nghiên cứu,research,-0.43015086833861826,0.28492456583069087,1,7,handshape (77.4%); orientation (12.5%); movement (10.1%)
hoảng sợ,scared,0.054026722570328825,0.5270133612851644,1,8,handshape (60.9%); movement (27.5%); orientation (9.9%)
khoa học,science,-0.05368580117760485,0.47315709941119755,1,7,handshape (69.8%); movement (22.9%); orientation (6.5%)
ngồi,sit,0.7499110438460949,0.8749555219230474,3,6,handshape (65.4%); movement (23.6%); orientation (11.0%)
con rắn,snake,-0.4528247417507305,0.27358762912463475,1,7,handshape (58.0%); movement (34.9%); orientation (7.1%)
xà phòng,soap,-0.27900837633567505,0.3604958118321625,3,7,handshape (78.2%); movement (11.1%); orientation (10.7%)
7up,soda,-0.11295994541323544,0.4435200272933823,1,6,handshape (64.5%); movement (21.0%); orientation (14.6%)
bướng bỉnh,stubborn,0.0018182155604387438,0.5009091077802194,2,7,handshape (80.2%); movement (11.9%); orientation (7.1%)
Mặt trời lặn,sunset,0.27018665688321214,0.635093328441606,1,8,movement (78.1%); handshape (19.1%); orientation (2.3%)
con cọp,tiger,-0.2674885879612411,0.36625570601937946,3,9,handshape (52.4%); movement (33.5%); orientation (13.8%)
nhà vệ sinh,toilet,-0.00973903869152393,0.49513048065423804,1,5,handshape (66.0%); movement (20.2%); orientation (7.7%)
cây xanh,tree,-0.36486987336843085,0.3175650633157846,1,6,handshape (87.9%); movement (8.9%); orientation (3.2%)
xe tải,truck,-0.5651124548630938,0.2174437725684531,1,6,handshape (64.3%); movement (27.0%); orientation (8.7%)
chú ( người),uncle,0.040967313383198506,0.5204836566915992,1,6,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
trả lời,answer,0.15320612864386862,0.5766030643219343,1,7,handshape (69.4%); movement (19.0%); orientation (8.6%)
nghệ thuật,art,0.07731958286773546,0.5386597914338678,3,7,handshape (65.7%); movement (25.8%); orientation (8.6%)
to lớn,big,-0.19220934699337028,0.40389532650331483,1,9,movement (53.2%); handshape (43.5%); orientation (3.2%)
củ cà rốt,carrot,0.07733186640902834,0.5386659332045142,1,9,handshape (76.4%); movement (12.3%); orientation (10.4%)
đám mây,cloud,0.39268004301097215,0.696340021505486,1,8,movement (59.5%); handshape (32.7%); orientation (7.8%)
tiếp tục,continue,0.23848056017905794,0.6192402800895289,3,6,handshape (84.5%); movement (9.3%); orientation (6.2%)
sa mạc,desert,-0.2370184542151944,0.3814907728924028,1,7,handshape (50.9%); movement (28.6%); spatial relationship (10.9%)
búp bê,doll,-0.34275357895527747,0.32862321052236126,1,7,handshape (66.6%); movement (25.2%); orientation (8.2%)
email,email,-0.16591823272069553,0.41704088363965225,1,6,handshape (58.3%); movement (30.3%); orientation (10.3%)
mặt,face,0.2296817106478852,0.6148408553239426,1,8,handshape (59.3%); movement (29.2%); orientation (11.5%)
ít,few,0.5391421188772729,0.7695710594386365,1,5,handshape (64.8%); movement (26.5%); orientation (8.6%)
ngữ pháp,grammar,0.24758796108667447,0.6237939805433372,3,9,handshape (65.2%); movement (26.2%); orientation (8.7%)
ông ngoại,grandfather,0.6776707640455508,0.8388353820227754,3,7,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
giới thiệu,introduce,0.041823789517614895,0.5209118947588074,1,6,handshape (75.2%); movement (13.1%); orientation (11.7%)
phòng thư viện,library,-0.698996589580921,0.15050170520953948,1,5,handshape (72.6%); movement (17.9%); orientation (9.5%)
tôm hùm,lobster,0.02704821899033541,0.5135241094951677,1,7,movement (51.5%); handshape (40.4%); orientation (7.7%)
tình yêu,love,-0.12978380218182428,0.43510809890908786,1,7,handshape (61.7%); movement (19.3%); spatial relationship (12.6%)
1,one,0.7478742947460697,0.8739371473730349,1,8,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
lễ phép,polite,-0.2025177563445651,0.3987411218277175,1,6,handshape (81.7%); movement (9.7%); orientation (8.6%)
đẩy,push,0.6598176409923084,0.8299088204961542,1,6,handshape (51.2%); movement (25.5%); orientation (15.6%)
bán hàng,sell,-0.3784355180655683,0.31078224096721585,3,7,handshape (85.1%); movement (7.9%); orientation (7.0%)
nghiêm túc,serious,0.6299480275389706,0.8149740137694853,1,6,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
thông minh,smart,-0.2660160763727869,0.36699196181360655,3,8,handshape (69.9%); movement (20.5%); orientation (9.6%)
con sóc,squirrel,0.4689421876655876,0.7344710938327939,1,6,handshape (47.7%); movement (30.4%); orientation (21.9%)
con đường,street,-0.12038667198422091,0.43980666400788954,1,6,handshape (46.2%); movement (33.3%); spatial relationship (16.4%)
mùa hè,summer,0.05924636007346063,0.5296231800367304,3,7,handshape (78.5%); movement (13.2%); orientation (7.1%)
kia,that,0.1562245126538731,0.5781122563269365,1,4,handshape (62.1%); movement (26.6%); orientation (11.3%)
khát nước,thirsty,0.44673842550275056,0.7233692127513753,1,8,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
vé,ticket,-0.15686431323991817,0.42156784338004094,1,6,handshape (83.2%); movement (9.7%); orientation (6.2%)
yếu,weak,-0.20839187297849518,0.3958040635107524,3,7,handshape (80.0%); movement (11.5%); orientation (8.4%)
gió Lào,wind,-0.4535301958734892,0.2732349020632554,1,8,handshape (74.0%); movement (20.8%); orientation (5.2%)
giận dữ,angry,-0.27319283834537444,0.3634035808273128,1,7,handshape (49.5%); movement (37.6%); orientation (11.3%)
cánh tay,arm,0.6419270178529164,0.8209635089264582,1,7,handshape (76.5%); movement (15.0%); orientation (8.5%)
quân đội,army,0.5807655460398118,0.7903827730199059,2,5,handshape (64.1%); movement (25.3%); orientation (10.2%)
hỏi,ask,-0.0008309396867635446,0.49958453015661825,3,7,handshape (66.6%); movement (24.6%); orientation (8.0%)
cơ thể,body,-0.3124870073947497,0.34375649630262517,1,6,handshape (72.9%); movement (16.9%); orientation (10.1%)
chai nước,bottle,0.08150717992975358,0.5407535899648768,1,7,handshape (70.0%); movement (22.6%); orientation (7.4%)
cây nến,candle,0.9071743531668872,0.9535871765834436,1,6,handshape (71.5%); movement (21.3%); orientation (7.2%)
con vịt,duck,0.09106779776494792,0.5455338988824739,1,6,handshape (66.7%); movement (19.2%); orientation (13.3%)
chim đại bàng,eagle,-0.3418450863856699,0.32907745680716505,1,7,handshape (59.0%); movement (31.4%); orientation (5.3%)
mỗi,every,-0.15298794991600834,0.42350602504199586,1,5,handshape (67.5%); movement (25.6%); orientation (6.1%)
con cóc,frog,0.6610328784638817,0.8305164392319409,1,7,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
quả nho,grapes,0.4632296711379521,0.731614835568976,1,7,handshape (61.8%); movement (28.8%); orientation (7.7%)
bánh hamburger,hamburger,-0.36071324441567953,0.31964337779216023,1,6,handshape (64.2%); movement (30.4%); orientation (5.3%)
con ngựa,horse,-0.17981385149197357,0.4100930742540132,3,4,handshape (55.2%); movement (35.1%); orientation (8.4%)
bên trong,inside,0.5319100669977135,0.7659550334988567,1,6,handshape (73.0%); movement (16.6%); orientation (10.4%)
lắng nghe,listen,0.3252642387188797,0.6626321193594399,1,7,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
con chuột,mouse,0.0043308960230006854,0.5021654480115003,3,5,handshape (60.8%); movement (28.6%); orientation (9.6%)
bảo tàng,museum,0.11272927328047921,0.5563646366402396,1,5,handshape (85.0%); movement (12.0%); orientation (3.0%)
chương trình,program,0.3613064745739786,0.6806532372869893,1,6,handshape (54.3%); movement (28.9%); orientation (16.8%)
con chuột,rat,0.020655325611652897,0.5103276628058264,3,6,handshape (62.4%); movement (26.8%); orientation (9.8%)
nghỉ ngơi,rest,-0.22263246381078994,0.38868376809460503,1,6,handshape (66.4%); movement (19.3%); orientation (14.4%)
con sông,river,0.14607112600235378,0.5730355630011769,1,5,handshape (59.4%); movement (30.8%); orientation (9.8%)
gửi,send,0.5066098497678534,0.7533049248839268,1,5,handshape (47.8%); movement (36.8%); orientation (15.5%)
con cừu,sheep,0.2383931182147859,0.6191965591073929,1,5,handshape (51.0%); movement (41.2%); orientation (7.8%)
bầu trời,sky,-0.09743821356311061,0.45128089321844467,1,8,handshape (48.2%); movement (42.1%); orientation (8.4%)
đứng nghiêm,stand,0.059921903195563855,0.5299609515977819,1,5,handshape (70.1%); movement (23.3%); orientation (6.6%)
dừng lại,stop,-0.08971690828612952,0.4551415458569352,1,5,handshape (69.2%); movement (21.5%); orientation (9.2%)
Mặt trời mọc,sunrise,0.5941851682423105,0.7970925841211552,1,4,handshape (47.4%); movement (45.7%); orientation (6.9%)
con rùa,turtle,0.5554994036700849,0.7777497018350424,1,5,handshape (65.8%); movement (29.8%); orientation (4.4%)
ấm áp,warm,0.05129343430841922,0.5256467171542096,1,5,handshape (73.1%); movement (17.5%); orientation (9.4%)
