VSL_gloss,ASL_gloss,cosine_similarity,similarity_score,sample_count_VSL,sample_count_ASL,top_difference_features
sách,book,0.002897148583214581,0.5014485742916073,1,6,movement (69.1%); handshape (27.7%); orientation (3.2%)
đồ uống,drink,0.00955348506764652,0.5047767425338232,1,15,handshape (50.2%); movement (46.1%); orientation (3.2%)
phòng máy tính,computer,-0.03137402967766192,0.48431298516116905,1,14,movement (54.1%); handshape (38.6%); orientation (7.3%)
bàn ghế,chair,0.21738757495321398,0.608693787476607,1,7,movement (49.0%); handshape (45.5%); orientation (5.5%)
đi,go,0.07267127646957199,0.536335638234786,1,15,movement (49.3%); handshape (45.7%); orientation (4.2%)
ai,who,0.7825246332242028,0.8912623166121014,3,14,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
kẹo,candy,-0.2135579045999792,0.39322104770001043,3,13,movement (62.8%); handshape (33.8%); orientation (3.1%)
giúp đỡ,help,-0.2657108650767218,0.3671445674616391,3,14,movement (61.6%); handshape (33.0%); orientation (5.4%)
không có,no,-0.47476356899378713,0.26261821550310643,1,11,movement (75.5%); handshape (20.7%); orientation (3.2%)
màu đen,black,0.24028302048324124,0.6201415102416206,1,10,movement (65.2%); handshape (27.8%); orientation (5.7%)
hoàn thành,finish,0.3872587944103685,0.6936293972051842,1,9,movement (64.4%); handshape (30.3%); orientation (5.3%)
màu cam,orange,-0.1072199410754355,0.44639002946228223,1,10,movement (48.0%); handshape (47.1%); orientation (4.3%)
bàn ghế,table,-0.41023541783770734,0.29488229108114633,1,5,handshape (66.0%); movement (26.3%); orientation (7.4%)
giường,bed,-0.05933212840664829,0.4703339357966759,1,13,handshape (62.8%); movement (30.0%); orientation (7.2%)
màu xanh da trời,blue,0.2856494388523891,0.6428247194261946,3,8,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
con chó,dog,-0.5618640112337424,0.2190679943831288,3,11,movement (71.3%); handshape (25.3%); orientation (3.4%)
con cá,fish,0.036579573809902705,0.5182897869049513,3,10,movement (74.4%); handshape (19.6%); orientation (5.9%)
mũ,hat,0.4695799747259049,0.7347899873629524,1,9,movement (47.1%); handshape (43.0%); orientation (9.9%)
nghe,hearing,0.6203934394655009,0.8101967197327504,1,8,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
hôn,kiss,0.42008118052269683,0.7100405902613485,1,9,movement (57.5%); handshape (35.2%); orientation (7.3%)
ngôn ngữ,language,0.1044819358120575,0.5522409679060287,1,10,handshape (55.8%); movement (39.1%); orientation (5.1%)
màu trắng,white,0.28176222605232215,0.6408811130261611,3,10,handshape (53.9%); movement (38.8%); orientation (6.7%)
quả táo,apple,0.059587473607864844,0.5297937368039324,2,11,handshape (50.6%); movement (41.0%); orientation (7.9%)
con chim,bird,-0.3769695912969448,0.3115152043515276,1,10,movement (68.6%); handshape (26.8%); orientation (4.2%)
biến đổi,change,0.6320910118532659,0.8160455059266329,1,12,movement (51.1%); handshape (38.3%); orientation (10.6%)
bắp ngô,corn,-0.05027536854773656,0.47486231572613175,3,12,handshape (56.2%); movement (37.7%); orientation (6.1%)
con bò,cow,0.12148228707083769,0.5607411435354188,3,9,movement (61.4%); handshape (36.0%); orientation (2.4%)
nhảy múa,dance,0.017068472795588055,0.508534236397794,1,7,handshape (63.9%); movement (31.4%); orientation (4.6%)
ăn uống,eat,-0.06772342717087541,0.4661382864145623,1,7,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
thích thú,enjoy,-0.44524773359159064,0.2773761332042047,3,8,handshape (60.3%); movement (31.2%); orientation (6.1%)
quên,forget,-0.244681586990885,0.37765920650455753,1,7,movement (55.9%); handshape (39.3%); orientation (4.2%)
gặp gỡ,meet,0.7049194958803593,0.8524597479401796,1,9,handshape (48.0%); movement (46.2%); orientation (5.8%)
bánh pizza,pizza,0.7295980007363136,0.8647990003681568,1,12,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
chơi,play,0.21573594072183766,0.6078679703609189,2,11,movement (59.8%); handshape (36.9%); orientation (3.2%)
nhà trường,school,0.33391302431494485,0.6669565121574724,3,9,movement (61.6%); handshape (27.4%); orientation (10.9%)
ngắn,short,-0.29731274445943234,0.35134362777028383,1,13,movement (51.1%); handshape (42.7%); orientation (6.2%)
muốn,want,-0.1620450708359226,0.4189774645820387,3,9,movement (70.2%); handshape (21.7%); orientation (7.4%)
làm việc,work,0.674575218332498,0.837287609166249,1,10,movement (53.7%); handshape (37.7%); orientation (8.6%)
ngày sinh,birthday,-0.6005455292988515,0.19972723535057424,3,6,movement (53.0%); handshape (43.1%); orientation (3.9%)
màu nâu,brown,0.5803447579253219,0.7901723789626609,3,8,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
nhưng,but,-0.4378511338588399,0.28107443307058005,3,7,handshape (52.6%); movement (41.0%); orientation (6.4%)
quyết định,decide,-0.0024376788460261467,0.4987811605769869,3,9,movement (72.9%); handshape (20.2%); orientation (7.0%)
giấy,paper,0.6555743797364364,0.8277871898682182,3,8,movement (60.6%); handshape (35.4%); orientation (3.5%)
kéo,pull,-0.016507108603267952,0.491746445698366,1,9,movement (50.0%); handshape (45.1%); orientation (4.2%)
giống nhau,same,0.456066822082695,0.7280334110413476,1,9,movement (56.3%); handshape (41.4%); orientation (2.3%)
ghé thăm,visit,0.4431241938816105,0.7215620969408052,1,9,handshape (52.5%); movement (39.4%); orientation (7.3%)
trông chờ,wait,0.3002097469981962,0.6501048734990981,3,10,movement (68.8%); handshape (28.1%); orientation (3.0%)
cặp sách,backpack,0.47144256448032185,0.7357212822401609,1,8,movement (54.9%); handshape (42.6%); orientation (2.5%)
anh em,brother,0.02024329597384284,0.5101216479869214,3,11,movement (55.7%); handshape (38.7%); orientation (5.6%)
con mèo,cat,-0.048884374789672204,0.4755578126051639,3,9,movement (65.3%); handshape (31.4%); orientation (3.3%)
lớp,class,-0.332744035298981,0.3336279823505095,1,9,movement (73.7%); handshape (22.9%); orientation (2.6%)
khóc,cry,-0.2504335653514415,0.3747832173242792,1,10,movement (67.4%); handshape (29.0%); orientation (3.0%)
màu xanh lá cây,green,0.07840426107292499,0.5392021305364625,3,7,movement (61.4%); handshape (33.3%); orientation (4.5%)
dao,knife,0.7518886659981989,0.8759443329990995,1,6,movement (66.1%); handshape (27.2%); orientation (6.7%)
tươi cười,laugh,-0.2511900788489632,0.3744049605755184,1,11,movement (49.5%); handshape (47.5%); orientation (3.0%)
con thỏ,rabbit,-0.1924218330015403,0.4037890834992298,1,8,movement (78.5%); handshape (11.9%); spatial relationship (7.3%)
đọc sách,read,0.7124663397220363,0.8562331698610182,1,6,movement (60.9%); handshape (32.4%); orientation (6.7%)
màu đỏ,red,0.5361992796346837,0.7680996398173419,1,7,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
phòng học tin học,room,-0.07721153985837494,0.46139423007081254,1,11,movement (59.5%); handshape (36.4%); orientation (4.1%)
chạy,run,0.25577483275003793,0.627887416375019,1,7,movement (64.6%); handshape (31.9%); orientation (3.5%)
ốm đau,sick,-0.3732027595977058,0.31339862020114706,1,8,handshape (51.5%); movement (43.9%); orientation (4.7%)
trà,tea,0.11317271516319316,0.5565863575815966,1,7,handshape (54.0%); movement (44.0%); orientation (2.1%)
cô giáo,teacher,-0.3069525620729592,0.3465237189635204,3,8,movement (57.5%); handshape (33.5%); orientation (8.0%)
tuần,week,0.2914691199666971,0.6457345599833486,3,9,movement (68.3%); handshape (23.5%); orientation (8.2%)
nhà vệ sinh,bathroom,-0.022700593774739982,0.48864970311263,1,7,movement (48.7%); handshape (42.3%); orientation (5.0%)
chăn (cái chăn),blanket,0.12083434370053421,0.5604171718502671,3,10,movement (71.1%); handshape (25.7%); orientation (3.0%)
pha cà phê,coffee,-0.06464790896440711,0.46767604551779646,1,7,handshape (52.2%); movement (44.2%); orientation (3.6%)
chép bài,copy,-0.21034198866876208,0.39482900566561896,1,8,handshape (49.6%); movement (44.2%); orientation (6.2%)
dễ thương,cute,0.6958235463720608,0.8479117731860304,1,7,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
bạn,friend,-0.429905395583989,0.2850473022080055,3,7,handshape (53.4%); movement (42.4%); orientation (4.2%)
vui mừng,happy,0.20384338046246347,0.6019216902312318,3,8,movement (69.3%); handshape (26.5%); orientation (4.2%)
ghi nhớ,remember,-0.3401392765915755,0.32993036170421225,1,7,handshape (58.3%); movement (37.7%); orientation (4.0%)
kiểm tra,test,-0.19365011778648022,0.4031749411067599,3,8,movement (59.5%); handshape (34.1%); orientation (5.7%)
mệt mỏi,tired,0.1763189568916208,0.5881594784458104,1,7,movement (71.5%); handshape (19.7%); spatial relationship (5.9%)
cửa sổ,window,0.8566659256266634,0.9283329628133317,1,6,movement (55.9%); handshape (39.8%); orientation (4.3%)
bạn,you,-0.1415569093749578,0.4292215453125211,3,8,movement (66.1%); handshape (29.3%); orientation (4.0%)
quả chuối,banana,0.049204489718941674,0.5246022448594708,1,9,handshape (55.0%); movement (37.4%); orientation (7.6%)
con trai,boy,0.30953630126479337,0.6547681506323967,1,8,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
nói chuyện,chat,0.01483041059268639,0.5074152052963432,1,9,movement (48.0%); handshape (44.8%); orientation (7.1%)
đồng hồ,clock,0.5259578427368001,0.7629789213684001,1,5,movement (47.6%); handshape (43.8%); orientation (8.6%)
đóng cửa,close,0.45773901792008354,0.7288695089600418,1,8,movement (50.2%); handshape (46.3%); orientation (3.5%)
ban ngày,day,0.03847232386518685,0.5192361619325935,1,9,movement (78.6%); handshape (18.5%); orientation (2.8%)
bàn bạc,discuss,0.02641770593115489,0.5132088529655774,1,8,handshape (53.1%); movement (42.1%); orientation (4.9%)
béo,fat,0.2702656200517397,0.6351328100258699,1,10,movement (53.1%); handshape (36.5%); orientation (10.4%)
trò chơi,game,-0.28107603436606726,0.3594619828169664,1,6,handshape (56.0%); movement (36.2%); orientation (7.8%)
con gái,girl,0.3448552452482505,0.6724276226241253,1,9,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
chính phủ,government,0.11602378013434068,0.5580118900671703,2,10,movement (59.6%); handshape (30.1%); orientation (10.3%)
nghe,hear,0.26183899335668004,0.63091949667834,1,9,movement (56.1%); handshape (35.1%); orientation (8.2%)
nhà cửa,house,0.44318092108933543,0.7215904605446677,1,7,movement (53.2%); handshape (42.2%); orientation (4.6%)
mới,new,0.6726163174257812,0.8363081587128907,3,9,movement (62.0%); handshape (32.7%); orientation (5.3%)
không có,none,-0.12319544409164827,0.43840227795417586,1,7,movement (69.2%); handshape (23.7%); orientation (7.1%)
luyện tập,practice,-0.07349460061568244,0.46325269969215876,1,9,handshape (72.2%); movement (26.4%); orientation (1.4%)
Liên Bang Nga (nước Nga),russia,0.1497684236164756,0.5748842118082378,3,8,movement (41.6%); handshape (38.7%); spatial relationship (14.2%)
muối,salt,-0.13698604569075123,0.4315069771546244,1,8,handshape (50.5%); movement (42.7%); orientation (6.8%)
bánh sandwich,sandwich,0.5408084658513197,0.7704042329256598,1,10,movement (53.7%); handshape (37.4%); orientation (8.9%)
học sinh Miền Nam,student,-0.21878094558523895,0.3906095272073805,1,8,handshape (62.4%); movement (33.4%); orientation (4.3%)
dạy,teach,-0.1663444608719092,0.4168277695640454,1,7,movement (58.1%); handshape (34.0%); orientation (7.2%)
bắt,catch,0.043426690168176255,0.5217133450840882,1,9,movement (48.1%); handshape (46.4%); orientation (4.8%)
phương Đông,east,0.22833998529052255,0.6141699926452613,1,8,handshape (61.2%); movement (34.1%); orientation (4.1%)
trứng,egg,-0.14062012954407452,0.4296899352279627,3,7,movement (54.2%); handshape (42.2%); orientation (3.6%)
môi trường,environment,-0.3115303028326682,0.34423484858366593,1,11,handshape (58.9%); movement (37.4%); orientation (3.7%)
cha,father,0.300399541242655,0.6501997706213275,1,7,movement (50.0%); handshape (43.6%); orientation (5.7%)
bông hoa,flower,0.37605062115261984,0.6880253105763099,3,7,movement (57.6%); handshape (35.1%); orientation (7.3%)
thân thiện,friendly,0.3362217223021248,0.6681108611510624,1,7,movement (58.0%); handshape (36.8%); orientation (4.6%)
kính,glasses,-0.14658700513834877,0.4267064974308256,1,9,movement (64.3%); handshape (30.9%); orientation (4.2%)
tim,heart,-0.09289172595836333,0.4535541370208183,1,8,movement (53.6%); handshape (37.2%); orientation (6.1%)
khiêm tốn,humble,-0.13537170677584331,0.43231414661207834,1,8,movement (57.5%); handshape (36.5%); orientation (5.3%)
internet,internet,0.6085153027076533,0.8042576513538267,1,8,movement (70.6%); handshape (24.2%); orientation (5.2%)
giết,kill,-0.1098420850158751,0.44507895749206244,1,7,movement (68.6%); handshape (24.9%); orientation (5.8%)
sữa,milk,0.37330728334826363,0.6866536416741318,3,5,movement (53.5%); handshape (39.5%); orientation (6.1%)
tháng,month,-0.35207748627325836,0.32396125686337085,3,7,handshape (51.6%); movement (42.8%); orientation (5.6%)
di chuyển,move,-0.0036638463855572937,0.49816807680722136,1,10,movement (72.7%); handshape (22.7%); orientation (4.0%)
buổi trưa,noon,0.10899899387109403,0.554499496935547,3,6,movement (57.9%); handshape (40.7%); orientation (1.4%)
không có,not,-0.10580845377537648,0.44709577311231175,1,7,movement (72.0%); handshape (24.7%); orientation (3.3%)
bệnh nhân,patient,-0.016013298132966015,0.491993350933517,1,7,handshape (50.1%); movement (46.8%); orientation (2.7%)
củ khoai tây,potato,0.3364416631882426,0.6682208315941213,1,8,handshape (64.2%); movement (33.1%); orientation (2.7%)
buồn thảm,sad,-0.2973676642695688,0.3513161678652156,1,8,movement (66.8%); handshape (27.8%); orientation (4.7%)
tiết kiệm,save,-0.3565297534206652,0.3217351232896674,3,8,handshape (50.9%); movement (45.5%); orientation (3.4%)
xin lỗi,sorry,0.11462209571487685,0.5573110478574385,1,7,movement (64.2%); handshape (26.0%); orientation (9.8%)
nói chuyện,talk,-0.3172081065039245,0.34139594674803775,1,7,movement (81.6%); handshape (15.5%); orientation (2.4%)
nhiệt độ,temperature,0.49034195762400684,0.7451709788120034,1,8,movement (59.9%); handshape (36.9%); orientation (2.5%)
suy nghĩ,think,-0.27980759938140465,0.3600962003092977,2,7,movement (51.0%); handshape (44.4%); orientation (4.5%)
ngày nay,today,-0.2456562200347964,0.3771718899826018,3,9,movement (60.5%); handshape (35.6%); orientation (3.9%)
hiểu,understand,0.22634841633155817,0.6131742081657791,3,7,handshape (58.0%); movement (32.2%); orientation (9.8%)
buồn nôn,vomit,-0.041068652891862484,0.47946567355406877,1,9,movement (61.8%); handshape (34.2%); orientation (3.3%)
bỏ phiếu,vote,0.06690299568560559,0.5334514978428028,1,8,movement (48.9%); handshape (48.7%); orientation (2.4%)
phương Tây,west,0.30535699524283916,0.6526784976214196,1,8,movement (57.4%); handshape (36.7%); orientation (5.2%)
ẩm ướt,wet,-0.19306991438937768,0.40346504280531115,1,9,movement (64.5%); handshape (28.8%); orientation (6.0%)
buổi chiều,afternoon,0.5716925449445204,0.7858462724722601,1,7,movement (64.0%); handshape (31.6%); orientation (4.4%)
bóng bay,balloon,0.33804939747344265,0.6690246987367213,1,9,movement (67.5%); handshape (27.2%); orientation (5.3%)
con gấu,bear,0.19492937853939463,0.5974646892696973,1,7,movement (54.3%); handshape (35.2%); orientation (10.5%)
bát,bowl,-0.05390937036088424,0.47304531481955786,1,6,movement (67.7%); handshape (23.7%); orientation (7.8%)
hộp,box,0.16838564901966752,0.5841928245098338,1,7,movement (54.8%); handshape (40.3%); orientation (4.9%)
bánh mì,bread,-0.4744342879845922,0.2627828560077039,3,7,handshape (53.9%); movement (42.9%); orientation (3.3%)
ô tô,car,0.32511680312752733,0.6625584015637637,1,7,movement (55.0%); handshape (40.0%); orientation (5.0%)
con gà,chicken,0.08368742149934354,0.5418437107496717,1,5,handshape (52.1%); movement (44.7%); orientation (3.2%)
chọn lựa,choose,-0.5502401955098822,0.22487990224505888,1,8,handshape (50.9%); movement (42.4%); orientation (6.3%)
nhà thờ,church,-0.2706862643965631,0.36465686780171847,1,6,handshape (50.4%); movement (39.2%); orientation (10.2%)
cốc,cup,0.30280037100524426,0.6514001855026221,1,6,movement (49.2%); handshape (44.0%); orientation (6.8%)
cắt nhau,cut,-0.22348983804744008,0.38825508097628,1,8,movement (50.6%); handshape (45.6%); orientation (3.7%)
con hươu,deer,0.24284706276677923,0.6214235313833896,1,7,movement (71.6%); handshape (20.6%); spatial relationship (5.4%)
tai,ear,-0.10502439838706623,0.4474878008064669,1,8,movement (52.8%); handshape (42.8%); orientation (4.4%)
con voi,elephant,-0.14542832276902048,0.42728583861548974,3,7,movement (49.8%); handshape (40.3%); orientation (8.0%)
tiếng Anh,english,-0.2801251060890366,0.3599374469554817,3,5,handshape (51.8%); movement (45.5%); orientation (2.7%)
giải thích,explain,-0.19379257483384402,0.403103712583078,1,7,movement (74.9%); handshape (18.5%); orientation (4.6%)
nền nhà,floor,-0.2017618377566942,0.3991190811216529,1,6,handshape (51.9%); movement (40.1%); orientation (7.9%)
con ruồi,fly,0.18333003249431387,0.591665016247157,1,8,handshape (45.5%); movement (43.7%); orientation (10.7%)
chào,hello,0.5757871707425878,0.7878935853712938,1,4,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
quan trọng,important,-0.567722624106705,0.21613868794664748,1,8,movement (54.8%); handshape (39.4%); orientation (5.5%)
ghen tị,jealous,0.7283917173564148,0.8641958586782075,3,8,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
to lớn,large,-0.023734848991435752,0.48813257550428213,1,7,movement (66.0%); handshape (32.5%); orientation (1.6%)
quả chanh,lemon,-0.3124470483316477,0.34377647583417614,1,8,movement (47.4%); handshape (46.7%); orientation (5.9%)
gương,mirror,0.3790939180673858,0.6895469590336929,1,8,handshape (53.1%); movement (39.0%); orientation (7.0%)
con khỉ,monkey,-0.131464555843545,0.4342677220782275,1,7,movement (61.6%); handshape (33.5%); orientation (4.9%)
buổi sáng,morning,-0.30260285068928583,0.3486985746553571,3,6,movement (62.7%); handshape (31.4%); orientation (5.4%)
xe máy,motorcycle,0.5836166494745285,0.7918083247372643,1,7,movement (60.8%); handshape (36.8%); orientation (2.4%)
buổi tối,night,0.031117887753969783,0.5155589438769849,3,5,movement (65.9%); handshape (26.7%); orientation (7.4%)
quả ớt,pepper,-0.2135944136210907,0.39320279318945467,1,7,movement (58.1%); handshape (35.4%); orientation (6.5%)
điện thoại,phone,0.5962230375136992,0.7981115187568496,1,5,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
bức tranh,picture,-0.5512832998790581,0.22435835006047095,3,6,handshape (62.1%); movement (32.2%); orientation (5.6%)
mưa phùn,rain,0.22606076280624166,0.6130303814031208,1,7,movement (63.2%); handshape (27.7%); orientation (8.9%)
nghiên cứu,research,-0.3245225937845993,0.3377387031077004,1,7,handshape (51.0%); movement (39.3%); orientation (9.8%)
hoảng sợ,scared,-0.16717937091906782,0.41641031454046606,1,8,movement (74.5%); handshape (21.3%); orientation (3.6%)
