dataset,label,num_samples,prototype_index
ASL,cards,4,292
ASL,care,7,293
ASL,careful,9,294
ASL,careless,2,295
ASL,carnival,5,296
ASL,carrot,9,297
ASL,carry,7,298
ASL,cat,9,299
ASL,catch,9,300
ASL,category,5,301
ASL,caterpillar,4,302
ASL,catholic,5,303
ASL,cause,6,304
ASL,ceiling,6,305
ASL,celebrate,6,306
ASL,cemetery,6,307
ASL,cent,6,308
ASL,center,7,309
ASL,cereal,8,310
ASL,certificate,6,311
ASL,chain,7,312
ASL,chair,7,313
ASL,challenge,6,314
ASL,champion,11,315
ASL,chance,5,316
ASL,change,12,317
ASL,chapter,5,318
ASL,character,7,319
ASL,chase,6,320
ASL,chat,9,321
ASL,cheap,7,322
ASL,cheat,10,323
ASL,check,11,324
ASL,cheerleader,4,325
ASL,cheese,7,326
ASL,chemical,5,327
ASL,chemistry,6,328
ASL,cherry,5,329
ASL,chicago,3,330
ASL,chicken,5,331
ASL,child,9,332
ASL,children,7,333
ASL,china,4,334
ASL,chocolate,6,335
ASL,choice,8,336
ASL,choir,6,337
ASL,choke,4,338
ASL,choose,8,339
ASL,chop,7,340
ASL,christ,4,341
ASL,christian,7,342
ASL,christmas,8,343
ASL,church,6,344
ASL,cigarette,5,345
ASL,circle,5,346
ASL,city,9,347
ASL,class,9,348
ASL,classroom,5,349
ASL,clean,7,350
ASL,clear,5,351
ASL,clever,6,352
ASL,click,4,353
ASL,climb,5,354
ASL,clock,5,355
ASL,close,8,356
ASL,closet,5,357
ASL,clothes,5,358
ASL,cloud,8,359
ASL,clown,5,360
ASL,clueless,5,361
ASL,clumsy,5,362
ASL,coach,6,363
ASL,coat,5,364
ASL,cochlear implant,7,365
ASL,coconut,5,366
ASL,coffee,7,367
ASL,cold,12,368
ASL,collect,4,369
ASL,college,7,370
ASL,color,8,371
ASL,comb,6,372
ASL,come,6,373
ASL,come here,8,374
ASL,comfortable,7,375
ASL,comma,4,376
ASL,command,5,377
ASL,comment,5,378
ASL,commit,4,379
ASL,committee,5,380
ASL,common,5,381
ASL,common sense,5,382
ASL,community,6,383
ASL,commute,5,384
ASL,company,4,385
ASL,compare,7,386
ASL,compete,4,387
ASL,complain,6,388
ASL,complete,5,389
ASL,complex,7,390
ASL,compromise,6,391
ASL,computer,14,392
ASL,concentrate,3,393
ASL,concept,4,394
ASL,concern,5,395
ASL,conflict,7,396
ASL,confront,6,397
ASL,confused,6,398
ASL,congratulations,4,399
ASL,congress,6,400
ASL,connect,5,401
ASL,conquer,4,402
ASL,consider,4,403
ASL,constitution,6,404
ASL,construct,5,405
ASL,consume,4,406
ASL,contact,7,407
ASL,contest,4,408
ASL,continue,6,409
ASL,contract,3,410
ASL,contribute,7,411
ASL,control,5,412
ASL,conversation,5,413
ASL,convert,4,414
ASL,convince,10,415
ASL,cook,8,416
ASL,cookie,8,417
ASL,cool,16,418
ASL,cooperate,3,419
ASL,cop,8,420
ASL,copy,8,421
ASL,corn,12,422
ASL,corner,5,423
ASL,correct,9,424
ASL,cost,6,425
ASL,couch,5,426
ASL,cough,6,427
ASL,counsel,5,428
ASL,counselor,4,429
ASL,count,6,430
ASL,country,9,431
ASL,court,4,432
ASL,cousin,14,433
ASL,cover,5,434
ASL,cow,9,435
ASL,crab,6,436
ASL,cracker,6,437
ASL,crash,9,438
ASL,crave,5,439
ASL,crazy,7,440
ASL,create,4,441
ASL,crocodile,4,442
ASL,cross,5,443
ASL,crown,4,444
ASL,cruel,4,445
ASL,crush,4,446
ASL,cry,10,447
ASL,cuba,3,448
ASL,culture,4,449
ASL,cup,6,450
ASL,curious,6,451
ASL,curriculum,6,452
ASL,curse,6,453
ASL,curtain,2,454
ASL,customer,4,455
ASL,cut,8,456
ASL,cute,7,457
ASL,d,4,458
ASL,dad,7,459
ASL,daily,5,460
ASL,damage,4,461
ASL,dance,7,462
ASL,dancer,4,463
ASL,danger,5,464
ASL,dangerous,6,465
ASL,dark,12,466
ASL,date,5,467
ASL,daughter,10,468
ASL,dawn,4,469
ASL,day,9,470
ASL,dead,5,471
ASL,deaf,11,472
ASL,death,5,473
ASL,debate,4,474
ASL,debt,4,475
ASL,december,5,476
ASL,decide,9,477
ASL,decorate,9,478
ASL,decrease,5,479
ASL,deduct,6,480
ASL,deep,8,481
ASL,deer,7,482
ASL,defeat,4,483
ASL,defend,5,484
ASL,degree,6,485
ASL,delay,11,486
ASL,delicious,10,487
ASL,deliver,4,488
ASL,demand,8,489
ASL,democrat,4,490
ASL,demonstrate,6,491
ASL,dentist,8,492
ASL,deny,5,493
ASL,deodorant,6,494
ASL,department,4,495
ASL,depend,7,496
ASL,deposit,5,497
ASL,depressed,5,498
ASL,descend,4,499
ASL,describe,7,500
ASL,desert,7,501
ASL,design,5,502
ASL,desk,6,503
ASL,dessert,8,504
ASL,destroy,7,505
ASL,detach,4,506
ASL,detective,3,507
ASL,determine,4,508
ASL,develop,8,509
ASL,devil,3,510
ASL,diabetes,5,511
ASL,diamond,6,512
ASL,diaper,6,513
ASL,diarrhea,6,514
ASL,dice,4,515
ASL,dictionary,6,516
ASL,die,4,517
ASL,different,8,518
ASL,difficult,4,519
ASL,dig,5,520
ASL,dime,5,521
ASL,dining room,5,522
ASL,dinner,7,523
ASL,dinosaur,7,524
ASL,diploma,5,525
ASL,director,4,526
ASL,dirt,5,527
ASL,dirty,9,528
ASL,disagree,5,529
ASL,disappear,7,530
ASL,discipline,5,531
ASL,disconnect,8,532
ASL,discount,4,533
ASL,discover,7,534
ASL,discuss,8,535
ASL,disgust,6,536
ASL,disgusted,4,537
ASL,dismiss,4,538
ASL,dissolve,7,539
ASL,disturb,5,540
ASL,dive,9,541
ASL,divide,6,542
ASL,division,4,543
ASL,divorce,6,544
ASL,dizzy,4,545
ASL,doctor,10,546
ASL,document,7,547
ASL,dog,11,548
ASL,doll,7,549
ASL,dollar,8,550
ASL,dolphin,5,551
ASL,don't want,6,552
ASL,done,5,553
ASL,door,7,554
ASL,dorm,6,555
ASL,dormitory,5,556
ASL,double,6,557
ASL,doubt,6,558
ASL,down,8,559
ASL,downstairs,4,560
ASL,drag,3,561
ASL,dragon,3,562
ASL,drama,5,563
ASL,draw,6,564
ASL,drawer,7,565
ASL,dream,6,566
ASL,dress,8,567
ASL,drink,15,568
ASL,drive,7,569
ASL,drop,9,570
ASL,drug,4,571
ASL,drum,5,572
ASL,drunk,7,573
ASL,dry,9,574
ASL,duck,6,575
ASL,due,6,576
ASL,dull,6,577
ASL,dumb,4,578
ASL,during,5,579
ASL,dusk,5,580
ASL,duty,5,581
ASL,dvd,4,582
ASL,dye,4,583
ASL,e,4,584
ASL,each,4,585
ASL,eagle,7,586
ASL,ear,8,587
ASL,early,6,588
ASL,earn,6,589
ASL,earring,6,590
ASL,earth,6,591
ASL,earthquake,5,592
ASL,east,8,593
ASL,easter,7,594
ASL,easy,6,595
ASL,eat,7,596
ASL,economy,5,597
ASL,educate,7,598
ASL,education,5,599
ASL,effort,4,600
ASL,egg,7,601
ASL,egypt,7,602
ASL,eight,6,603
ASL,eighteen,6,604
ASL,either,3,605
ASL,electrician,5,606
ASL,electricity,5,607
ASL,elementary,4,608
ASL,elephant,7,609
ASL,elevator,6,610
ASL,else,3,611
ASL,email,6,612
ASL,embarrass,6,613
ASL,emergency,4,614
ASL,emotion,6,615
ASL,empty,5,616
ASL,encourage,7,617
ASL,end,6,618
ASL,energy,6,619
ASL,engage,5,620
ASL,engagement,4,621
ASL,engine,5,622
ASL,engineer,5,623
ASL,england,5,624
ASL,english,5,625
ASL,enjoy,8,626
ASL,enormous,5,627
ASL,enough,5,628
ASL,enter,5,629
ASL,envelope,4,630
ASL,environment,11,631
ASL,equal,6,632
ASL,erase,5,633
ASL,eraser,5,634
ASL,escape,8,635
ASL,establish,5,636
ASL,eternity,5,637
ASL,europe,7,638
ASL,evaluate,5,639
ASL,evening,4,640
ASL,event,7,641
ASL,every,5,642
ASL,every monday,5,643
ASL,every tuesday,5,644
ASL,everyday,4,645
ASL,everything,4,646
ASL,evidence,7,647
ASL,exact,6,648
ASL,exaggerate,5,649
ASL,example,11,650
ASL,except,5,651
ASL,exchange,8,652
ASL,excited,6,653
ASL,excuse,3,654
ASL,exercise,5,655
ASL,exhibit,4,656
ASL,expand,4,657
ASL,expect,6,658
ASL,expensive,8,659
ASL,experience,7,660
ASL,experiment,6,661
ASL,expert,7,662
ASL,explain,7,663
ASL,explode,4,664
ASL,express,4,665
ASL,eye,6,666
ASL,eyeglasses,4,667
ASL,eyes,5,668
ASL,f,4,669
ASL,face,8,670
ASL,fact,6,671
ASL,faculty,5,672
ASL,fail,6,673
ASL,fairy,4,674
ASL,fake,6,675
ASL,fall in love,5,676
ASL,familiar,3,677
ASL,family,11,678
ASL,famous,6,679
ASL,fancy,7,680
ASL,far,11,681
ASL,farm,8,682
ASL,farmer,4,683
ASL,fast,9,684
ASL,fat,10,685
ASL,father,7,686
ASL,fault,9,687
ASL,favorite,5,688
ASL,fear,5,689
ASL,february,4,690
ASL,federal,4,691
ASL,feed,6,692
ASL,feedback,6,693
ASL,feel,7,694
ASL,fence,6,695
ASL,festival,4,696
ASL,few,5,697
ASL,fight,7,698
ASL,final,5,699
ASL,finally,7,700
ASL,finance,4,701
ASL,find,8,702
ASL,fine,9,703
ASL,fingerspell,3,704
ASL,finish,9,705
ASL,fire,3,706
ASL,firefighter,5,707
ASL,first,9,708
ASL,fish,10,709
ASL,fishing,6,710
ASL,five,5,711
ASL,fix,6,712
ASL,flag,6,713
ASL,flatter,4,714
ASL,flexible,7,715
ASL,flirt,6,716
ASL,flood,4,717
ASL,floor,6,718
ASL,florida,4,719
ASL,flower,7,720
ASL,flute,6,721
ASL,fly,8,722
ASL,fold,6,723
ASL,follow,9,724
ASL,food,7,725
ASL,fool,5,726
ASL,football,9,727
ASL,for,5,728
ASL,forbid,4,729
ASL,forest,7,730
ASL,forever,6,731
ASL,forget,7,732
ASL,forgive,5,733
ASL,fork,4,734
ASL,form,9,735
ASL,former,5,736
ASL,four,5,737
ASL,fourth,5,738
ASL,fox,7,739
ASL,france,6,740
ASL,free,4,741
ASL,freeway,4,742
ASL,freeze,7,743
ASL,french,5,744
ASL,french fries,6,745
ASL,friday,6,746
ASL,friend,7,747
ASL,friendly,7,748
ASL,frog,7,749
ASL,from,7,750
ASL,from now on,5,751
ASL,front,8,752
ASL,fruit,7,753
ASL,full,10,754
ASL,fun,7,755
ASL,function,7,756
ASL,funeral,5,757
ASL,funny,5,758
ASL,furniture,3,759
ASL,future,9,760
ASL,g,4,761
ASL,gallaudet,4,762
ASL,gamble,5,763
ASL,game,6,764
ASL,gang,4,765
ASL,garage,3,766
ASL,gas,7,767
ASL,gasoline,4,768
ASL,gather,6,769
ASL,gay,4,770
ASL,general,6,771
ASL,generation,4,772
ASL,geography,7,773
ASL,geometry,5,774
ASL,german,5,775
ASL,germany,6,776
ASL,get,7,777
ASL,get up,6,778
ASL,ghost,6,779
ASL,gift,4,780
ASL,giraffe,7,781
ASL,girl,9,782
ASL,girlfriend,5,783
ASL,give,10,784
ASL,give up,6,785
ASL,glass,7,786
ASL,glasses,9,787
ASL,gloves,2,788
ASL,go,15,789
ASL,goal,7,790
ASL,goat,6,791
ASL,god,7,792
ASL,gold,4,793
ASL,golf,7,794
ASL,gone,5,795
ASL,good,10,796
ASL,goodbye,5,797
ASL,gorilla,5,798
ASL,gossip,6,799
ASL,government,10,800
ASL,grab,4,801
ASL,graduate,10,802
ASL,graduation,5,803
ASL,grammar,9,804
ASL,grandfather,7,805
ASL,grandma,4,806
ASL,grandmother,7,807
ASL,grapes,7,808
ASL,grass,5,809
ASL,grateful,5,810
ASL,gray,6,811
ASL,great,9,812
ASL,greece,7,813
ASL,green,7,814
ASL,grey,2,815
ASL,group,8,816
ASL,grow,6,817
ASL,grow up,4,818
ASL,guess,6,819
ASL,guide,5,820
ASL,guilty,7,821
ASL,guitar,7,822
ASL,gum,6,823
ASL,gun,4,824
ASL,gymnastics,4,825
ASL,h,4,826
ASL,habit,4,827
ASL,hair,9,828
ASL,haircut,3,829
ASL,half,5,830
ASL,halloween,9,831
ASL,hamburger,6,832
ASL,hammer,6,833
ASL,hang up,3,834
ASL,hanukkah,4,835
ASL,happen,6,836
ASL,happy,8,837
ASL,hard,6,838
ASL,hard of hearing,5,839
ASL,hat,9,840
ASL,hate,4,841
ASL,have,6,842
ASL,hawaii,7,843
ASL,head,6,844
ASL,headache,9,845
ASL,health,6,846
ASL,heap,5,847
ASL,hear,9,848
ASL,hearing,8,849
ASL,hearing aid,5,850
ASL,heart,8,851
ASL,heart attack,5,852
ASL,heaven,5,853
ASL,heavy,5,854
ASL,helicopter,8,855
ASL,hello,4,856
ASL,helmet,5,857
ASL,help,14,858
ASL,her,8,859
ASL,here,7,860
ASL,herself,7,861
ASL,hide,5,862
ASL,high,6,863
ASL,high school,4,864
ASL,highway,7,865
ASL,hill,3,866
ASL,hippopotamus,3,867
ASL,his,4,868
ASL,history,8,869
ASL,hit,6,870
ASL,hockey,5,871
ASL,hold,5,872
ASL,holy,5,873
ASL,home,7,874
ASL,homework,5,875
ASL,honest,5,876
ASL,honey,5,877
ASL,honor,6,878
ASL,hop,4,879
ASL,hope,9,880
ASL,horse,4,881
ASL,hospital,7,882
ASL,host,5,883
ASL,hot,10,884
ASL,hot dog,5,885
ASL,hour,7,886
ASL,house,7,887
ASL,how,9,888
ASL,hug,5,889
ASL,human,4,890
ASL,humble,8,891
ASL,hungry,6,892
ASL,hunt,5,893
ASL,hurricane,5,894
ASL,hurry,7,895
ASL,hurt,5,896
ASL,husband,7,897
ASL,i,4,898
ASL,ice cream,7,899
ASL,idea,8,900
ASL,identify,5,901
ASL,if,6,902
ASL,ignore,5,903
ASL,ill,4,904
ASL,illegal,5,905
ASL,image,5,906
ASL,impact,5,907
ASL,important,8,908
ASL,impossible,6,909
ASL,improve,9,910
ASL,in,7,911
ASL,include,4,912
ASL,increase,5,913
ASL,independent,7,914
ASL,india,4,915
ASL,individual,4,916
ASL,infection,6,917
ASL,influence,6,918
ASL,inform,9,919
ASL,information,7,920
ASL,innocent,4,921
ASL,insect,5,922
ASL,inside,6,923
ASL,inspect,5,924
ASL,inspire,5,925
ASL,instead,5,926
ASL,institute,5,927
ASL,insurance,6,928
ASL,interest,10,929
ASL,interesting,6,930
ASL,international,3,931
ASL,internet,8,932
ASL,interpret,4,933
ASL,interpreter,5,934
ASL,interrupt,5,935
ASL,intersection,4,936
ASL,interview,5,937
ASL,introduce,6,938
ASL,invest,7,939
ASL,investigate,6,940
ASL,invite,5,941
ASL,involve,5,942
ASL,iran,7,943
ASL,ireland,4,944
ASL,iron,4,945
ASL,island,6,946
ASL,israel,5,947
ASL,italy,5,948
ASL,j,4,949
ASL,jacket,7,950
ASL,jail,5,951
ASL,january,5,952
ASL,japan,7,953
ASL,jealous,8,954
ASL,jesus,6,955
ASL,jewelry,6,956
ASL,jewish,5,957
ASL,join,8,958
ASL,joke,5,959
ASL,journey,4,960
ASL,joy,5,961
ASL,judge,5,962
ASL,july,4,963
ASL,jump,6,964
ASL,june,5,965
ASL,k,4,966
ASL,kangaroo,3,967
ASL,karate,4,968
ASL,keep,6,969
ASL,key,6,970
ASL,keyboard,6,971
ASL,kick,5,972
ASL,kid,5,973
ASL,kill,7,974
ASL,kindergarten,5,975
ASL,king,7,976
ASL,kiss,9,977
ASL,kitchen,7,978
ASL,kneel,4,979
ASL,knife,6,980
ASL,knock,3,981
ASL,know,8,982
ASL,label,6,983
ASL,lady,5,984
ASL,lamp,2,985
ASL,land,6,986
ASL,language,10,987
ASL,laptop,6,988
ASL,large,7,989
ASL,last,12,990
ASL,last week,5,991
ASL,last year,6,992
ASL,late,8,993
ASL,later,12,994
ASL,laugh,11,995
ASL,laundry,4,996
ASL,law,7,997
ASL,lawyer,5,998
ASL,lazy,6,999
ASL,lead,7,1000
ASL,leader,5,1001
ASL,leaf,6,1002
ASL,league,3,1003
ASL,leak,5,1004
ASL,learn,8,1005
ASL,leave,11,1006
ASL,lecture,7,1007
ASL,left,5,1008
ASL,legal,4,1009
ASL,lemon,8,1010
ASL,lend,6,1011
ASL,lesbian,6,1012
ASL,less,5,1013
ASL,lesson,6,1014
ASL,let,4,1015
ASL,letter,11,1016
ASL,lettuce,7,1017
ASL,liability,5,1018
ASL,librarian,4,1019
ASL,library,5,1020
ASL,license,3,1021
ASL,lie,7,1022
ASL,lift,6,1023
ASL,light,8,1024
ASL,lightning,6,1025
ASL,like,10,1026
ASL,limit,7,1027
ASL,line,6,1028
ASL,linguistics,7,1029
ASL,lion,5,1030
ASL,lip,4,1031
ASL,lipstick,4,1032
ASL,list,9,1033
ASL,listen,7,1034
ASL,little bit,3,1035
ASL,live,6,1036
ASL,loan,3,1037
ASL,lobster,7,1038
ASL,local,4,1039
ASL,lock,6,1040
ASL,lonely,6,1041
ASL,long,5,1042
ASL,look at,2,1043
ASL,look for,3,1044
ASL,lord,4,1045
ASL,lose,9,1046
ASL,loud,6,1047
ASL,lousy,6,1048
ASL,love,7,1049
ASL,lucky,7,1050
ASL,lunch,6,1051
ASL,m,4,1052
ASL,machine,6,1053
ASL,mad,5,1054
ASL,magazine,5,1055
ASL,magic,5,1056
ASL,mainstream,5,1057
ASL,major,5,1058
ASL,make,9,1059
ASL,man,12,1060
ASL,manage,5,1061
ASL,manager,5,1062
ASL,many,10,1063
ASL,march,7,1064
ASL,marry,7,1065
ASL,match,8,1066
ASL,math,7,1067
ASL,mature,4,1068
ASL,maximum,6,1069
ASL,maybe,6,1070
ASL,me,4,1071
ASL,mean,8,1072
ASL,meaning,2,1073
ASL,measure,7,1074
ASL,meat,8,1075
ASL,mechanic,6,1076
ASL,medicine,8,1077
ASL,meet,9,1078
ASL,meeting,6,1079
ASL,melody,5,1080
ASL,melt,4,1081
ASL,member,5,1082
ASL,memorize,7,1083
ASL,mention,3,1084
ASL,message,5,1085
ASL,metal,4,1086
ASL,mexico,6,1087
ASL,microphone,5,1088
ASL,microscope,4,1089
ASL,microwave,7,1090
ASL,middle,7,1091
ASL,midnight,4,1092
ASL,military,3,1093
ASL,milk,5,1094
ASL,mind,5,1095
ASL,mine,4,1096
ASL,minus,4,1097
ASL,minute,9,1098
ASL,mirror,8,1099
ASL,miss,8,1100
ASL,mistake,4,1101
ASL,misunderstand,4,1102
ASL,mix,6,1103
ASL,mock,3,1104
ASL,mom,7,1105
ASL,monday,6,1106
ASL,money,6,1107
ASL,monkey,7,1108
ASL,monster,5,1109
ASL,month,7,1110
ASL,monthly,4,1111
ASL,moon,7,1112
ASL,moose,4,1113
ASL,more,8,1114
ASL,morning,6,1115
ASL,mosquito,4,1116
ASL,most,7,1117
ASL,mother,11,1118
ASL,motivate,6,1119
ASL,motor,5,1120
ASL,motorcycle,7,1121
ASL,mountain,5,1122
ASL,mouse,5,1123
ASL,mouth,5,1124
ASL,move,10,1125
ASL,movie,5,1126
ASL,much,6,1127
ASL,multiply,6,1128
ASL,murder,4,1129
ASL,muscle,5,1130
ASL,museum,5,1131
ASL,mushroom,5,1132
ASL,music,8,1133
ASL,must,7,1134
ASL,mustache,5,1135
ASL,my,6,1136
ASL,myself,6,1137
ASL,n,4,1138
ASL,name,6,1139
ASL,napkin,7,1140
ASL,narrow,4,1141
ASL,nation,5,1142
ASL,near,9,1143
ASL,necessary,4,1144
ASL,neck,6,1145
ASL,necklace,9,1146
ASL,need,6,1147
ASL,negative,7,1148
ASL,negotiate,3,1149
ASL,neighbor,7,1150
ASL,nephew,6,1151
ASL,nervous,7,1152
ASL,network,6,1153
ASL,neutral,6,1154
ASL,never,7,1155
ASL,new,9,1156
ASL,new york,4,1157
ASL,newspaper,4,1158
ASL,next,5,1159
ASL,nice,6,1160
ASL,nickel,4,1161
ASL,niece,7,1162
ASL,night,5,1163
ASL,nine,5,1164
ASL,nineteen,6,1165
ASL,no,11,1166
ASL,none,7,1167
ASL,noon,6,1168
ASL,normal,5,1169
ASL,north,7,1170
ASL,northwest,4,1171
ASL,nose,6,1172
ASL,not,7,1173
ASL,not yet,4,1174
ASL,nothing,6,1175
ASL,notice,6,1176
ASL,november,5,1177
ASL,now,9,1178
ASL,number,5,1179
ASL,numerous,5,1180
ASL,nun,4,1181
ASL,nurse,6,1182
ASL,nut,5,1183
ASL,o,4,1184
ASL,objective,4,1185
ASL,obsess,7,1186
ASL,obtain,5,1187
ASL,occur,3,1188
ASL,ocean,5,1189
ASL,october,5,1190
ASL,octopus,5,1191
ASL,odd,4,1192
ASL,odor,5,1193
ASL,off,7,1194
ASL,offer,6,1195
ASL,office,9,1196
ASL,often,6,1197
ASL,ok,7,1198
ASL,old,7,1199
ASL,olympics,3,1200
ASL,on,5,1201
ASL,once,5,1202
ASL,one,8,1203
ASL,onion,8,1204
ASL,only,6,1205
ASL,open,7,1206
ASL,operate,6,1207
ASL,opinion,7,1208
ASL,opposite,5,1209
ASL,or,3,1210
ASL,oral,4,1211
ASL,orange,10,1212
ASL,order,10,1213
ASL,organize,5,1214
ASL,other,5,1215
ASL,our,4,1216
ASL,out,5,1217
ASL,outside,9,1218
ASL,over,6,1219
ASL,overcome,5,1220
ASL,overlook,5,1221
